# Windows i9-13900H AVX2 Benchmark Summary
# Generated: 04/18/2026 00:00:34
# Dataset: DEEP100K (100K x 96D), k=10, 2000 queries
#
file                     	label                                   	recall	latency_us
---
baseline                 	baseline_serial_flat                    	0.99995	4571.62350
flat_avx2                	flat_avx2                               	0.99995	1756.10750
sq_p100                  	sq_avx2, p=100                          	0.99995	427.00900
sq_p200                  	sq_avx2, p=200                          	0.99995	469.31100
sq_p500                  	sq_avx2, p=500                          	0.99995	609.16350
sq_p1000                 	sq_avx2, p=1000                         	0.99995	808.63150
sq_p2000                 	sq_avx2, p=2000                         	0.99995	1159.40800
sq_p5000                 	sq_avx2, p=5000                         	0.99995	2368.87050
sq_p10000                	sq_avx2, p=10000                        	0.99995	4066.32300
sq_p50000                	sq_avx2, p=50000                        	0.99995	11572.15550
sq_p100000               	sq_avx2, p=100000                       	0.99995	18507.04550
pq_p100                  	pq_avx2, p=100                          	0.70860	398.52950
pq_p200                  	pq_avx2, p=200                          	0.83360	665.06050
pq_p500                  	pq_avx2, p=500                          	0.94595	838.16800
pq_p1000                 	pq_avx2, p=1000                         	0.98330	761.99050
pq_p2000                 	pq_avx2, p=2000                         	0.99550	1640.21250
pq_p5000                 	pq_avx2, p=5000                         	0.99965	3042.07850
pq_p10000                	pq_avx2, p=10000                        	0.99995	3344.42900
pq_p50000                	pq_avx2, p=50000                        	0.99995	13508.39400
pq_p100000               	pq_avx2, p=100000                       	0.99995	15893.12100
