method,query_n,nthreads,nlist,tau_low,tau_high,recall_at_10,schedule,query_order,latency_us,low_count,mid_count,high_count,avg_nprobe,avg_rerank_p,avg_scanned,hard_count,hard_recall,hard_query_us,hard_scanned,medium_count,medium_recall,medium_query_us,medium_scanned,easy_count,easy_recall,easy_query_us,easy_scanned
fixed_low_np2_p500,2000,8,16,0.03368,0.08289,0.86940,dynamic,original,148.42735,0,2000,0,2.00000,500.00000,15984.49700,623,0.74462,1145.84767,14555.44623,569,0.86591,1280.52355,15279.33040,808,0.96807,1132.04814,17582.93564
fixed_mid_np4_p1000,2000,8,16,0.03368,0.08289,0.95945,dynamic,original,229.06365,0,2000,0,4.00000,1000.00000,28709.52700,623,0.91830,1888.19695,27360.46709,569,0.96116,1774.15835,28034.48506,808,0.98998,1789.56324,30225.07550
fixed_mid_grouped_np4_p1000,2000,8,16,0.03368,0.08289,0.95945,dynamic,grouped,250.72045,0,2000,0,4.00000,1000.00000,28709.52700,623,0.91830,2140.43917,27360.46709,569,0.96116,1994.63550,28034.48506,808,0.98998,1865.40149,30225.07550
fixed_mid_static_np4_p1000,2000,8,16,0.03368,0.08289,0.95945,static,original,268.16015,0,2000,0,4.00000,1000.00000,28709.52700,623,0.91830,2148.53981,27360.46709,569,0.96116,2070.76397,28034.48506,808,0.98998,2086.26139,30225.07550
fixed_mid_static_grouped_np4_p1000,2000,8,16,0.03368,0.08289,0.95945,static,grouped,305.98985,0,2000,0,4.00000,1000.00000,28709.52700,623,0.91830,2227.22039,27360.46709,569,0.96116,2206.71406,28034.48506,808,0.98998,2158.37661,30225.07550
fixed_near_np5_p1000,2000,8,16,0.03368,0.08289,0.97300,dynamic,original,324.81535,0,2000,0,5.00000,1000.00000,34697.01150,623,0.94398,2635.59213,33333.01284,569,0.97592,2539.42425,34012.45343,808,0.99332,2578.08069,36230.77970
fixed_high_np8_p1500,2000,8,16,0.03368,0.08289,0.99265,dynamic,original,340.32470,0,2000,0,8.00000,1500.00000,52971.10650,623,0.98427,2815.96870,51436.47191,569,0.99490,2676.46151,52606.78207,808,0.99752,2655.87748,54410.93069
adaptive_conservative,2000,8,16,0.03368,0.08289,0.96520,dynamic,original,217.38480,808,569,623,3.90750,919.20000,28107.18500,623,0.94398,1977.45746,33333.01284,569,0.96116,1816.96011,28034.48506,808,0.98441,1465.90322,24129.06064
adaptive_aggressive,2000,8,16,0.03368,0.08289,0.97115,dynamic,original,216.00155,808,569,623,4.43800,953.75000,31101.77800,623,0.98427,2783.58507,51436.47191,569,0.96116,1650.94148,28034.48506,808,0.96807,929.77277,17582.93564
adaptive_recall_oriented,2000,8,16,0.03368,0.08289,0.98420,dynamic,original,301.43295,808,569,623,5.53050,1155.75000,37909.93450,623,0.98427,3283.87159,51436.47191,569,0.97592,2086.54657,34012.45343,808,0.98998,1939.09579,30225.07550
adaptive_conservative_grouped,2000,8,16,0.03368,0.08289,0.96520,dynamic,grouped,186.53825,808,569,623,3.90750,919.20000,28107.18500,623,0.94398,1753.01637,33333.01284,569,0.96116,1530.36116,28034.48506,808,0.98441,1243.75829,24129.06064
adaptive_conservative_static,2000,8,16,0.03368,0.08289,0.96520,static,original,220.64160,808,569,623,3.90750,919.20000,28107.18500,623,0.94398,1945.89567,33333.01284,569,0.96116,1784.25870,28034.48506,808,0.98441,1477.69220,24129.06064
