method,query_n,candidate_p,recall_at_10,recall_at_100,online_latency_us,wall_latency_us,h2d_ms,score_ms,score_d2h_ms,candidate_select_ms,cpu_rerank_ms,qps
gpu_cublas_tree_top10,1,10,1.00000,0.00000,128795.77637,403350.20000,7.61747,111.20230,1.03043,0.00000,0.00000,7.76423
gpu_cublas_coarse_cpu_avx2_rerank,1,100,1.00000,1.00000,19076.10373,38763.40000,17.25648,0.44442,0.46941,0.71670,0.18910,52.42161
gpu_cublas_coarse_cpu_avx2_rerank,1,300,1.00000,1.00000,23261.59109,46935.20000,19.62624,0.55706,0.87290,1.04580,1.15960,42.98932
gpu_cublas_coarse_cpu_avx2_rerank,1,500,1.00000,1.00000,15521.27161,33995.50000,12.92675,0.38195,0.58397,1.20810,0.42050,64.42771
gpu_cublas_coarse_cpu_avx2_rerank,1,1000,1.00000,1.00000,23060.92810,45184.60000,18.82678,0.41472,0.64822,2.55360,0.61760,43.36339
gpu_cublas_tree_top10,128,10,1.00000,0.00000,108.57350,269.80938,11.05504,8.19405,0.15718,0.00000,0.00000,9210.35090
gpu_cublas_coarse_cpu_avx2_rerank,128,100,1.00000,1.00000,855.89053,955.88516,11.27379,1.54317,18.27693,67.88980,10.57030,1168.37372
gpu_cublas_coarse_cpu_avx2_rerank,128,300,1.00000,1.00000,983.11525,1085.52891,11.54173,1.47558,14.69184,81.86810,16.26150,1017.17474
gpu_cublas_coarse_cpu_avx2_rerank,128,500,1.00000,1.00000,1424.62491,1559.53125,14.50006,1.63923,21.14899,119.74880,25.31490,701.93915
gpu_cublas_coarse_cpu_avx2_rerank,128,1000,1.00000,1.00000,2314.04369,2407.10000,11.92269,1.47763,19.30067,206.29990,57.19670,432.14396
gpu_cublas_tree_top10,512,10,1.00000,0.00000,60.60038,100.87246,12.55021,7.93277,0.91014,0.00000,0.00000,16501.54734
gpu_cublas_coarse_cpu_avx2_rerank,512,100,1.00000,1.00000,542.83189,572.08711,10.61427,6.63859,52.69606,175.21810,32.76290,1842.19095
gpu_cublas_coarse_cpu_avx2_rerank,512,300,1.00000,1.00000,987.44874,1023.19824,15.35424,6.41843,65.55478,343.00440,75.24190,1012.71079
gpu_cublas_coarse_cpu_avx2_rerank,512,500,1.00000,1.00000,1357.13750,1384.86660,13.58896,5.91053,64.04771,489.25020,122.05700,736.84501
gpu_cublas_coarse_cpu_avx2_rerank,512,1000,1.00000,1.00000,2937.67045,2979.24648,18.80013,8.97331,101.74323,1044.25160,330.31900,340.40578
gpu_cublas_tree_top10,2000,10,0.99995,0.00000,78.68065,96.95040,24.42365,33.01036,17.38342,0.00000,0.00000,12709.60541
gpu_cublas_coarse_cpu_avx2_rerank,2000,100,0.99995,0.99999,924.09557,940.88105,28.62214,49.72032,389.43248,1150.10760,230.30860,1082.13915
gpu_cublas_coarse_cpu_avx2_rerank,2000,300,0.99995,0.99999,1109.27312,1122.70400,36.23904,42.96499,319.26560,1474.57890,345.49770,901.49124
gpu_cublas_coarse_cpu_avx2_rerank,2000,500,0.99995,0.99999,1769.26545,1787.98425,37.07226,66.31834,501.12272,2309.71300,624.30460,565.20631
gpu_cublas_coarse_cpu_avx2_rerank,2000,1000,0.99995,0.99999,2559.56105,2582.49190,41.06054,97.52678,563.93046,3362.72140,1053.88290,390.69199
