args,n,recall_mean,recall_std,online_us_mean,online_us_std,wall_us_mean,wall_us_std,build_ms_mean,build_ms_std,query_ms_mean,query_ms_std,score_ms_mean,score_ms_std,topk_ms_mean,topk_ms_std,result_ms_mean,result_ms_std
gemm 2000,3,0.9999,0.0,237.62874333333335,21.98005149687402,331.4346,19.301025466021244,7.472456666666667,1.3284505427878501,1.9388466666666666,0.8378499856975193,240.07954333333333,22.525272162045773,226.55932333333334,17.397873869120712,6.679786666666667,3.474400145886097
gemm_tree 2000,3,0.99995,0.0,165.049,11.334420416399768,256.4259833333333,31.260796788083198,5.45004,1.5671048338576459,1.4852466666666666,0.7438318214713143,229.94231,14.379456386122527,91.91970333333333,4.207730362943108,6.750753333333334,4.055494916891567
cublas 2000,3,0.9999,0.0,145.26648,1.0960662102263674,233.5915,15.986206403959628,4.405693333333334,0.7581908974218389,1.5599666666666667,0.23771870463498102,69.46627333333333,1.3439548701624382,214.48772666666667,0.7451476955834482,5.018996666666666,0.6278769261832554
cublas_tree 2000,3,0.99995,0.0,83.23613666666667,2.1236279855552214,162.94631666666666,6.733480630463958,3.5215666666666667,0.21041309591689697,1.1405533333333333,0.35002846631857437,70.70621666666666,1.8546102168470124,89.44230666666667,2.411169869281989,5.183203333333333,0.7760687438837706
ivf 2000 16 2,3,0.87335,0.0,298.1523266666667,35.45943688501319,494.82053333333334,55.63700480225221,231.46939333333333,7.21706908727036,2.4345499999999998,1.27970020500897,4.24034,2.9203673142431925,582.2208033333333,67.41180716253817,7.40897,3.303430082126758
ivf_grouped 2000 16 2,3,0.8734,0.0,94.01411666666667,10.350091975476998,277.3361,7.240700872671121,237.10022999999998,4.522033271980649,18.36013,3.4027590104061147,53.753433333333334,3.238164642298681,53.019306666666665,3.088852481623773,51.633073333333336,9.527278575465996
ivf 2000 16 4,3,0.96275,0.0,468.1949666666667,34.498559863249845,688.2497166666667,56.05328864915807,268.33298666666667,43.60535483577256,2.1417266666666666,1.266974340716233,3.34017,0.3449817373427178,922.6837333333334,65.66874610951264,8.224319999999999,2.262362766202626
ivf_grouped 2000 16 4,3,0.9628,0.0,145.32138,38.70879198294878,375.74558333333334,61.73735870930042,275.7341466666667,37.23841909285669,29.220263333333335,14.231620038159162,87.71684666666667,5.838802844250979,64.03952666666666,4.527068904537825,84.72711333333334,39.79296610568547
ivf 2000 16 8,3,0.9934,0.0,789.28951,89.28234037305027,987.2161666666666,94.53341789587337,244.50997,13.915791230673893,1.8144633333333333,1.2779275263618566,4.47506,1.7587204904987035,1564.4012866666667,172.3448747591902,7.888096666666667,4.847856485936164
ivf_grouped 2000 16 8,3,0.99345,0.0,189.89972,36.41101908560511,419.523,65.8764813104229,271.32812,35.67641694199826,30.627596666666665,12.820119384484423,143.18355333333335,5.678919518089105,89.95260333333333,4.057693467135405,89.16031333333333,34.75218398196196
