method,query_n,nlist,nprobe,M,ksub,rerank_p,opq_iter,recall_at_10,recall_at_100,latency_us,build_ms,train_ms,rotate_ms,scan_ms,rerank_ms,index_bytes
PQ,2000,0,0,8,256,500,0,0.94125,0.81410,3526.01210,10444.75010,0.02300,886.93660,6022.57960,810.31140,996608
PQ,2000,0,0,8,256,1000,0,0.98070,0.92202,5047.90390,10444.75010,0.02300,886.93660,8202.70640,1641.10360,996608
PQ,2000,0,0,8,256,1500,0,0.99180,0.95939,1775.70755,10444.75010,0.02300,886.93660,2873.97930,600.34440,996608
IVF-PQ,2000,16,2,8,256,500,0,0.84020,0.72875,581.02685,3654.00520,0.02300,886.93660,793.66150,269.12180,39802888
IVF-PQ,2000,16,2,8,256,1000,0,0.86875,0.80713,855.16525,3654.00520,0.02300,886.93660,1111.71100,495.64810,39802888
IVF-PQ,2000,16,2,8,256,1500,0,0.87490,0.82996,917.54520,3654.00520,0.02300,886.93660,1146.88890,601.43710,39802888
IVF-PQ,2000,16,4,8,256,500,0,0.91195,0.78897,548.15660,3654.00520,0.02300,886.93660,811.84140,208.16770,39802888
IVF-PQ,2000,16,4,8,256,1000,0,0.94715,0.88638,750.30210,3654.00520,0.02300,886.93660,1047.79420,376.97950,39802888
IVF-PQ,2000,16,4,8,256,1500,0,0.95630,0.91787,931.67540,3654.00520,0.02300,886.93660,1252.54230,534.44350,39802888
IVF-PQ,2000,16,8,8,256,500,0,0.93740,0.81034,1584.42430,3654.00520,0.02300,886.93660,2546.84850,471.37550,39802888
IVF-PQ,2000,16,8,8,256,1000,0,0.97575,0.91615,3398.39030,3654.00520,0.02300,886.93660,5104.01090,1460.62030,39802888
IVF-PQ,2000,16,8,8,256,1500,0,0.98660,0.95228,3906.55215,3654.00520,0.02300,886.93660,5456.17170,2127.02790,39802888
OPQ,2000,0,0,8,256,500,5,0.96385,0.85444,3486.26250,11592.72220,788.23330,1889.29530,5928.43180,817.21790,996608
OPQ,2000,0,0,8,256,1000,5,0.98975,0.94653,4333.56790,11592.72220,788.23330,1889.29530,6968.33340,1484.09970,996608
OPQ,2000,0,0,8,256,1500,5,0.99545,0.97316,4956.08175,11592.72220,788.23330,1889.29530,7675.44410,2014.19840,996608
IVF-OPQ,2000,16,2,8,256,500,5,0.85935,0.76216,1087.88280,13238.14080,788.23330,1889.29530,1437.26790,567.19820,39802888
IVF-OPQ,2000,16,2,8,256,1000,5,0.87480,0.82394,1872.87595,13238.14080,788.23330,1889.29530,2281.86790,1269.02010,39802888
IVF-OPQ,2000,16,2,8,256,1500,5,0.87795,0.83867,2595.55950,13238.14080,788.23330,1889.29530,2969.31910,1994.62960,39802888
IVF-OPQ,2000,16,4,8,256,500,5,0.93365,0.82796,1592.15170,13238.14080,788.23330,1889.29530,2349.96040,650.38950,39802888
IVF-OPQ,2000,16,4,8,256,1000,5,0.95530,0.90852,2253.08750,13238.14080,788.23330,1889.29530,3044.07470,1252.58990,39802888
IVF-OPQ,2000,16,4,8,256,1500,5,0.95940,0.93000,3153.75285,13238.14080,788.23330,1889.29530,4032.25480,2045.37690,39802888
IVF-OPQ,2000,16,8,8,256,500,5,0.95955,0.85016,2467.91375,13238.14080,788.23330,1889.29530,3994.63990,729.40960,39802888
IVF-OPQ,2000,16,8,8,256,1000,5,0.98460,0.94004,3276.57355,13238.14080,788.23330,1889.29530,4906.45070,1417.56730,39802888
IVF-OPQ,2000,16,8,8,256,1500,5,0.99005,0.96568,3708.27870,13238.14080,788.23330,1889.29530,5226.08970,1964.95500,39802888
