method,query_n,nlist,nprobe,M,ksub,rerank_p,opq_iter,recall_at_10,recall_at_100,latency_us,build_ms,train_ms,rotate_ms,scan_ms,rerank_ms,index_bytes
PQ,2000,0,0,12,256,1000,0,0.99740,0.97388,5758.27770,11341.02860,0.05410,559.78180,9690.56800,1583.69020,1396608
PQ,2000,0,0,12,256,1500,0,0.99920,0.99007,7394.77095,11341.02860,0.05410,559.78180,12002.62200,2512.83790,1396608
IVF-PQ,2000,16,4,12,256,1000,0,0.96025,0.92740,3464.94010,18968.90820,0.05410,559.78180,5032.67470,1626.40710,40202888
IVF-PQ,2000,16,4,12,256,1500,0,0.96180,0.94026,3911.98065,18968.90820,0.05410,559.78180,5374.19240,2202.85070,40202888
IVF-PQ,2000,16,8,12,256,1000,0,0.99185,0.96527,3708.60815,18968.90820,0.05410,559.78180,5897.11320,1319.23780,40202888
IVF-PQ,2000,16,8,12,256,1500,0,0.99370,0.98083,5476.95565,18968.90820,0.05410,559.78180,8361.12840,2327.74810,40202888
OPQ,2000,0,0,12,256,1000,5,0.99835,0.98398,6079.53590,18480.39890,910.96630,2086.68180,10187.96310,1697.98650,1396608
OPQ,2000,0,0,12,256,1500,5,0.99940,0.99376,7276.91065,18480.39890,910.96630,2086.68180,11760.98900,2524.54290,1396608
IVF-OPQ,2000,16,4,12,256,1000,5,0.96125,0.93671,3590.86240,18999.33640,910.96630,2086.68180,5156.35040,1745.59900,40202888
IVF-OPQ,2000,16,4,12,256,1500,5,0.96210,0.94324,4972.54770,18999.33640,910.96630,2086.68180,6676.73890,2922.01450,40202888
IVF-OPQ,2000,16,8,12,256,1000,5,0.99285,0.97550,5012.80995,18999.33640,910.96630,2086.68180,7952.54360,1767.37750,40202888
IVF-OPQ,2000,16,8,12,256,1500,5,0.99385,0.98435,5940.36185,18999.33640,910.96630,2086.68180,9048.90760,2530.23370,40202888
PQ,2000,0,0,16,256,1000,0,0.99985,0.99339,6176.46030,23713.28580,0.10800,2566.20360,10618.64670,1507.75590,1796608
PQ,2000,0,0,16,256,1500,0,0.99995,0.99839,6897.21815,23713.28580,0.10800,2566.20360,11392.43900,2173.38650,1796608
IVF-PQ,2000,16,4,16,256,1000,0,0.96220,0.94202,4171.05635,19049.85110,0.10800,2566.20360,6353.39180,1703.27930,40602888
IVF-PQ,2000,16,4,16,256,1500,0,0.96225,0.94551,4062.38510,19049.85110,0.10800,2566.20360,5838.21320,2058.42040,40602888
IVF-PQ,2000,16,8,16,256,1000,0,0.99420,0.98380,1521.04805,19049.85110,0.10800,2566.20360,2450.55720,496.13570,40602888
IVF-PQ,2000,16,8,16,256,1500,0,0.99430,0.98829,1427.30585,19049.85110,0.10800,2566.20360,2205.03520,572.04440,40602888
OPQ,2000,0,0,16,256,1000,5,0.99975,0.99616,6318.23460,11180.16130,205.20710,484.88140,10754.38870,1634.85410,1796608
OPQ,2000,0,0,16,256,1500,5,0.99995,0.99891,9194.05970,11180.16130,205.20710,484.88140,15234.08650,2838.71310,1796608
IVF-OPQ,2000,16,4,16,256,1000,5,0.96225,0.94445,4085.02880,22330.52150,205.20710,484.88140,6197.10890,1695.15200,40602888
IVF-OPQ,2000,16,4,16,256,1500,5,0.96230,0.94601,5137.80310,22330.52150,205.20710,484.88140,7342.48980,2648.97130,40602888
IVF-OPQ,2000,16,8,16,256,1000,5,0.99420,0.98654,6292.19150,22330.52150,205.20710,484.88140,10442.32720,1839.23510,40602888
IVF-OPQ,2000,16,8,16,256,1500,5,0.99430,0.98889,7374.11570,22330.52150,205.20710,484.88140,11674.78600,2773.69250,40602888
