method,query_n,nlist,nprobe,M,rerank_p,recall_at_10,recall_at_100,online_latency_us,wall_latency_us,build_ms,train_ms,rotate_ms,scan_ms,rerank_ms,index_bytes,repeat_count,warmup_n
PQ,2000,0,0,8,1000,0.98070,0.92202,1854.28580,1909.16755,4281.78610,0.02440,505.09850,3188.89030,519.68130,996608,3,128
PQ,2000,0,0,8,1500,0.99180,0.95939,2297.71740,2354.51845,4281.78610,0.02440,505.09850,3847.46240,747.97240,996608,3,128
IVF-PQ,2000,16,8,8,1000,0.97575,0.91615,1287.43725,1344.26790,4582.34430,0.02440,505.09850,2039.09830,535.77620,39802888,3,128
IVF-PQ,2000,16,8,8,1500,0.98660,0.95228,1589.51415,1648.76190,4582.34430,0.02440,505.09850,2417.02320,762.00510,39802888,3,128
OPQ,2000,0,0,8,1000,0.98975,0.94653,1700.42670,1751.37940,3901.86880,275.56850,901.23720,2918.79090,482.06250,996608,3,128
OPQ,2000,0,0,8,1500,0.99545,0.97316,2178.72780,2233.86080,3901.86880,275.56850,901.23720,3645.05790,712.39770,996608,3,128
IVF-OPQ,2000,16,8,8,1000,0.98460,0.94004,1149.82650,1201.45170,4791.07250,275.56850,901.23720,1821.09970,478.55330,39802888,3,128
IVF-OPQ,2000,16,8,8,1500,0.99005,0.96568,1077.58935,1117.40390,4791.07250,275.56850,901.23720,1628.94610,526.23260,39802888,3,128
PQ,2000,0,0,12,1500,0.99920,0.99007,1838.73590,1876.97390,4042.76950,0.05230,510.78600,3146.14030,531.33150,1396608,3,128
IVF-PQ,2000,16,8,12,1500,0.99370,0.98083,1267.42180,1307.92380,4086.38620,0.05230,510.78600,1993.73930,541.10430,40202888,3,128
OPQ,2000,0,0,12,1500,0.99940,0.99376,1871.65845,1911.69995,3906.17490,221.20480,496.00680,3195.34970,547.96720,1396608,3,128
IVF-OPQ,2000,16,8,12,1500,0.99385,0.98435,1162.92570,1202.28465,4233.72320,221.20480,496.00680,1813.53120,512.32020,40202888,3,128
PQ,2000,0,0,16,1500,0.99995,0.99839,2139.27735,2180.84850,4884.97950,0.02220,471.36080,3707.29890,571.25580,1796608,3,128
IVF-PQ,2000,16,8,16,1500,0.99430,0.98829,1444.23375,1486.07205,4873.67840,0.02220,471.36080,2312.62870,575.83880,40602888,3,128
OPQ,2000,0,0,16,1500,0.99995,0.99891,2140.63940,2181.73695,4793.49230,157.92920,476.70920,3696.38170,584.89710,1796608,3,128
IVF-OPQ,2000,16,8,16,1500,0.99430,0.98889,1525.97630,1569.64340,5018.83670,157.92920,476.70920,2437.54720,614.40540,40602888,3,128
