platform,algorithm,affinity_mode,affinity_mask,np,nthreads,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,header,per_rank_us
"Windows MS-MPI","IVF-PQ","default","","4","2","0.96560","285.79035","283.37595","2.41440","273.48885","283.37595","277.32213","1.02183","","rank0=278.31360 rank1=273.48885 rank2=283.37595 rank3=274.11010"
"Windows MS-MPI","IVF-PQ","p_only","FFF","4","2","0.96560","272.80995","271.01650","1.79345","268.53450","271.01650","270.01053","1.00373","","rank0=271.01650 rank1=269.71480 rank2=270.77630 rank3=268.53450"
"Windows MS-MPI","IVF-PQ","e_only","FF000","4","2","0.96560","497.59955","490.81120","6.78835","482.75580","490.81120","486.80985","1.00822","","rank0=483.37030 rank1=482.75580 rank2=490.81120 rank3=490.30210"
"Windows MS-MPI","IVF-PQ","p_e_all","FFFFF","4","2","0.96560","257.30730","255.74410","1.56320","243.80155","255.74410","249.68255","1.02428","","rank0=246.72060 rank1=252.46395 rank2=243.80155 rank3=255.74410"
"Windows MS-MPI","Block-HNSW","default","","4","2","1.00000","274.60550","272.93425","1.67125","272.27130","272.93425","272.55566","1.00139","","rank0=272.35930 rank1=272.65780 rank2=272.93425 rank3=272.27130"
"Windows MS-MPI","Block-HNSW","p_only","FFF","4","2","1.00000","179.59905","177.73035","1.86870","176.27445","177.73035","177.13515","1.00336","","rank0=177.24200 rank1=176.27445 rank2=177.73035 rank3=177.29380"
"Windows MS-MPI","Block-HNSW","e_only","FF000","4","2","1.00000","513.13875","508.19245","4.94630","505.21365","508.19245","506.38483","1.00357","","rank0=508.19245 rank1=506.26460 rank2=505.21365 rank3=505.86860"
"Windows MS-MPI","Block-HNSW","p_e_all","FFFFF","4","2","1.00000","492.37565","488.45545","3.92020","482.40760","488.45545","484.93621","1.00726","","rank0=488.45545 rank1=482.40760 rank2=484.67700 rank3=484.20480"
"Windows MS-MPI","IVF+HNSW","default","","4","2","0.96445","227.70865","226.13530","1.57335","221.98670","226.13530","223.77803","1.01053","","rank0=221.98670 rank1=226.13530 rank2=222.26105 rank3=224.72905"
"Windows MS-MPI","IVF+HNSW","p_only","FFF","4","2","0.96445","228.95250","227.43035","1.52215","224.70875","227.43035","226.45024","1.00433","","rank0=224.70875 rank1=227.43035 rank2=226.97605 rank3=226.68580"
"Windows MS-MPI","IVF+HNSW","e_only","FF000","4","2","0.96445","814.81070","789.31245","25.49825","727.67880","789.31245","748.65628","1.05431","","rank0=728.10625 rank1=727.67880 rank2=789.31245 rank3=749.52760"
"Windows MS-MPI","IVF+HNSW","p_e_all","FFFFF","4","2","0.96445","267.29795","264.45495","2.84300","259.80330","264.45495","262.13801","1.00884","","rank0=259.80330 rank1=264.45495 rank2=264.07595 rank3=260.21785"
"Windows MS-MPI","HNSW-on-HNSW","default","","4","2","0.28825","245.59650","243.99140","1.60510","240.42155","243.99140","242.55788","1.00591","","rank0=243.55000 rank1=243.99140 rank2=242.26855 rank3=240.42155"
"Windows MS-MPI","HNSW-on-HNSW","p_only","FFF","4","2","0.28825","254.83015","252.31620","2.51395","249.92470","252.31620","251.24556","1.00426","","rank0=251.08645 rank1=251.65490 rank2=252.31620 rank3=249.92470"
"Windows MS-MPI","HNSW-on-HNSW","e_only","FF000","4","2","0.28825","625.62710","620.96100","4.66610","614.47410","620.96100","618.44645","1.00407","","rank0=614.47410 rank1=620.96100 rank2=617.45455 rank3=620.89615"
"Windows MS-MPI","HNSW-on-HNSW","p_e_all","FFFFF","4","2","0.28825","269.44385","267.64340","1.80045","265.63215","267.64340","266.81461","1.00311","","rank0=267.20535 rank1=266.77755 rank2=267.64340 rank3=265.63215"
