platform,algorithm,worker_budget,layout,np,nthreads,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,header,per_rank_us
"Windows MS-MPI","IVF-PQ","8","1x8","1","8","0.95945","553.15630","551.56540","1.59090","551.56540","551.56540","551.56540","1.00000","","rank0=551.56540"
"Windows MS-MPI","IVF-PQ","8","2x4","2","4","0.96460","156.15355","155.06300","1.09055","154.01370","155.06300","154.53835","1.00339","","rank0=155.06300 rank1=154.01370"
"Windows MS-MPI","IVF-PQ","8","4x2","4","2","0.96560","259.43395","257.29455","2.13940","253.63565","257.29455","255.00201","1.00899","","rank0=253.89285 rank1=257.29455 rank2=255.18500 rank3=253.63565"
"Windows MS-MPI","IVF-PQ","8","8x1","8","1","0.96515","561.39900","558.22140","3.17760","533.09400","558.22140","549.48676","1.01590","","rank0=548.04775 rank1=551.57535 rank2=552.07045 rank3=548.91640 rank4=558.22140 rank5=551.39325 rank6=552.57550 rank7=533.09400"
"Windows MS-MPI","IVF-PQ","16","1x16","1","16","0.95945","296.92240","295.63705","1.28535","295.63705","295.63705","295.63705","1.00000","","rank0=295.63705"
"Windows MS-MPI","IVF-PQ","16","2x8","2","8","0.96460","121.23485","120.14835","1.08650","116.13905","120.14835","118.14370","1.01697","","rank0=120.14835 rank1=116.13905"
"Windows MS-MPI","IVF-PQ","16","4x4","4","4","0.96560","211.43065","209.33420","2.09645","196.22250","209.33420","204.52529","1.02351","","rank0=203.43285 rank1=209.11160 rank2=209.33420 rank3=196.22250"
"Windows MS-MPI","IVF-PQ","16","8x2","8","2","0.96515","366.51125","362.98005","3.53120","323.80540","362.98005","337.83629","1.07443","","rank0=332.42755 rank1=352.31400 rank2=345.61880 rank3=362.98005 rank4=324.57430 rank5=331.53330 rank6=329.43695 rank7=323.80540"
"Windows MS-MPI","Block-HNSW","8","1x8","1","8","1.00000","891.15360","890.18675","0.96685","890.18675","890.18675","890.18675","1.00000","","rank0=890.18675"
"Windows MS-MPI","Block-HNSW","8","2x4","2","4","1.00000","787.97610","786.19890","1.77720","785.42215","786.19890","785.81053","1.00049","","rank0=785.42215 rank1=786.19890"
"Windows MS-MPI","Block-HNSW","8","4x2","4","2","1.00000","477.88315","474.32265","3.56050","472.40410","474.32265","473.40844","1.00193","","rank0=473.94380 rank1=472.40410 rank2=474.32265 rank3=472.96320"
"Windows MS-MPI","Block-HNSW","8","8x1","8","1","0.99710","128.05220","124.82115","3.23105","117.80380","124.82115","120.48081","1.03603","","rank0=121.46770 rank1=120.01135 rank2=124.82115 rank3=117.80380 rank4=119.45720 rank5=122.58280 rank6=119.80505 rank7=117.89745"
"Windows MS-MPI","Block-HNSW","16","1x16","1","16","1.00000","1077.93000","1076.56035","1.36965","1076.56035","1076.56035","1076.56035","1.00000","","rank0=1076.56035"
"Windows MS-MPI","Block-HNSW","16","2x8","2","8","1.00000","1328.40870","1325.18260","3.22610","1316.42190","1325.18260","1320.80225","1.00332","","rank0=1325.18260 rank1=1316.42190"
"Windows MS-MPI","Block-HNSW","16","4x4","4","4","1.00000","1025.05405","1021.51680","3.53725","1013.55750","1021.51680","1017.80126","1.00365","","rank0=1016.80770 rank1=1013.55750 rank2=1021.51680 rank3=1019.32305"
"Windows MS-MPI","Block-HNSW","16","8x2","8","2","1.00000","213.47185","210.16420","3.30765","205.91985","210.16420","208.71246","1.00696","","rank0=209.39005 rank1=208.74985 rank2=205.91985 rank3=208.79345 rank4=206.52560 rank5=210.16420 rank6=210.03075 rank7=210.12590"
"Windows MS-MPI","IVF+HNSW","8","1x8","1","8","0.95225","450.03315","447.48125","2.55190","447.48125","447.48125","447.48125","1.00000","","rank0=447.48125"
"Windows MS-MPI","IVF+HNSW","8","2x4","2","4","0.96150","491.55720","489.63015","1.92705","489.16180","489.63015","489.39598","1.00048","","rank0=489.63015 rank1=489.16180"
"Windows MS-MPI","IVF+HNSW","8","4x2","4","2","0.96445","230.86680","228.63025","2.23655","223.26700","228.63025","226.57031","1.00909","","rank0=225.88510 rank1=228.49890 rank2=228.63025 rank3=223.26700"
"Windows MS-MPI","IVF+HNSW","8","8x1","8","1","0.96450","262.35580","259.20695","3.14885","237.64000","259.20695","248.14291","1.04459","","rank0=259.20695 rank1=245.24330 rank2=258.28310 rank3=240.30820 rank4=237.64000 rank5=247.22680 rank6=247.73035 rank7=249.50460"
"Windows MS-MPI","IVF+HNSW","16","1x16","1","16","0.95225","789.82770","786.93660","2.89110","786.93660","786.93660","786.93660","1.00000","","rank0=786.93660"
"Windows MS-MPI","IVF+HNSW","16","2x8","2","8","0.96150","740.56670","738.35565","2.21105","735.16085","738.35565","736.75825","1.00217","","rank0=735.16085 rank1=738.35565"
"Windows MS-MPI","IVF+HNSW","16","4x4","4","4","0.96445","189.47575","187.16695","2.30880","184.30900","187.16695","186.04000","1.00606","","rank0=187.16695 rank1=186.38895 rank2=186.29510 rank3=184.30900"
"Windows MS-MPI","IVF+HNSW","16","8x2","8","2","0.96450","237.45730","234.30145","3.15585","231.99975","234.30145","232.76939","1.00658","","rank0=233.28295 rank1=234.30145 rank2=232.44085 rank3=232.21010 rank4=233.07215 rank5=232.39535 rank6=231.99975 rank7=232.45250"
"Windows MS-MPI","HNSW-on-HNSW","8","1x8","1","8","0.26560","478.15865","476.19525","1.96340","476.19525","476.19525","476.19525","1.00000","","rank0=476.19525"
"Windows MS-MPI","HNSW-on-HNSW","8","2x4","2","4","0.27705","485.96925","483.31700","2.65225","483.24480","483.31700","483.28090","1.00007","","rank0=483.24480 rank1=483.31700"
"Windows MS-MPI","HNSW-on-HNSW","8","4x2","4","2","0.28825","262.90190","260.06475","2.83715","258.91875","260.06475","259.48825","1.00222","","rank0=259.36485 rank1=259.60465 rank2=258.91875 rank3=260.06475"
"Windows MS-MPI","HNSW-on-HNSW","8","8x1","8","1","0.30545","447.06665","442.56450","4.50215","420.78815","442.56450","431.67509","1.02523","","rank0=432.74630 rank1=440.59080 rank2=442.56450 rank3=425.03300 rank4=423.44880 rank5=420.78815 rank6=426.57035 rank7=441.65885"
"Windows MS-MPI","HNSW-on-HNSW","16","1x16","1","16","0.26560","231.34640","230.47240","0.87400","230.47240","230.47240","230.47240","1.00000","","rank0=230.47240"
"Windows MS-MPI","HNSW-on-HNSW","16","2x8","2","8","0.27705","227.81915","226.36705","1.45210","224.43665","226.36705","225.40185","1.00428","","rank0=224.43665 rank1=226.36705"
"Windows MS-MPI","HNSW-on-HNSW","16","4x4","4","4","0.28825","205.53900","203.93520","1.60380","201.79000","203.93520","202.64638","1.00636","","rank0=202.33565 rank1=203.93520 rank2=201.79000 rank3=202.52465"
"Windows MS-MPI","HNSW-on-HNSW","16","8x2","8","2","0.30545","293.01465","288.61420","4.40045","276.56430","288.61420","282.08858","1.02313","","rank0=283.41905 rank1=282.16930 rank2=288.61420 rank3=278.95715 rank4=280.30730 rank5=276.56430 rank6=278.78610 rank7=287.89125"
