source_file,platform,experiment,case,comm_mode,algorithm,label,mpi_procs,nthreads,nlist,local_nlist,nprobe,nblocks,hnsw_m,ef,p,query_n,mode,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,per_rank_us
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=1,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,1,,,,1000,2000,local,0.74535,274.69862,271.75784,2.94077,228.75714,271.75784,253.90030,1.07033,rank0=251.93632 rank1=254.56607 rank2=255.46575 rank3=271.75784 rank4=270.75851 rank5=249.43101 rank6=228.75714 rank7=248.52979
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=2,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,2,,,,1000,2000,local,0.89125,410.85947,408.00118,2.85828,348.19710,408.00118,376.99972,1.08223,rank0=392.43555 rank1=357.13816 rank2=355.57878 rank3=381.85382 rank4=348.19710 rank5=408.00118 rank6=378.64137 rank7=394.15181
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=4,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,4,,,,1000,2000,local,0.96515,512.09760,509.37176,2.72584,460.31511,509.37176,486.90430,1.04614,rank0=471.81106 rank1=490.44228 rank2=460.31511 rank3=509.37176 rank4=500.98670 rank5=485.10003 rank6=468.41764 rank7=508.78978
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=8,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,8,,,,1000,2000,local,0.99330,743.76404,740.89634,2.86770,690.63067,740.89634,722.05147,1.02610,rank0=690.63067 rank1=727.02920 rank2=725.73292 rank3=731.02915 rank4=732.72824 rank5=740.89634 rank6=723.37008 rank7=704.99516
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=16,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,16,,,,1000,2000,local,0.99995,1056.28812,1053.08843,3.19970,1009.49454,1053.08843,1027.99796,1.02441,rank0=1053.08843 rank1=1039.03913 rank2=1028.51892 rank3=1025.03145 rank4=1034.17623 rank5=1021.03114 rank6=1013.60381 rank7=1009.49454
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=8 nprobe=4,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,8,8,4,,,,1000,2000,local,0.98415,595.80779,592.94605,2.86174,539.57522,592.94605,570.93134,1.03856,rank0=563.14731 rank1=592.94605 rank2=580.67751 rank3=582.22282 rank4=557.14905 rank5=539.57522 rank6=563.87448 rank7=587.85832
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=16 nprobe=4,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,4,,,,1000,2000,local,0.96515,535.11155,516.04736,19.06419,485.22115,516.04736,501.27308,1.02947,rank0=516.04736 rank1=506.00255 rank2=503.78406 rank3=494.08531 rank4=506.07562 rank5=505.31435 rank6=493.65425 rank7=485.22115
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=32 nprobe=4,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,32,32,4,,,,1000,2000,local,0.94430,480.67546,477.63157,3.04389,387.49814,477.63157,442.91218,1.07839,rank0=446.90490 rank1=445.46533 rank2=387.49814 rank3=439.81564 rank4=437.09159 rank5=455.44910 rank6=477.63157 rank7=453.44114
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter IVF-PQ nlist=64 nprobe=4,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,64,64,4,,,,1000,2000,local,0.92200,375.45228,372.54500,2.90728,311.30171,372.54500,348.29167,1.06964,rank0=335.45244 rank1=362.83493 rank2=311.30171 rank3=372.54500 rank4=327.11065 rank5=364.54642 rank6=351.44734 rank7=361.09483
kunpeng_pbs_sweep_20260525_153105.txt,Kunpeng PBS,parameter,parameter Block-HNSW ef=10,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,8,2,,,,,16,10,,2000,,0.99900,534.60515,531.83115,2.77400,72.28720,531.83115,290.00053,1.83390,rank0=498.40426 rank1=112.51783 rank2=502.78640 rank3=72.28720 rank4=93.94073 rank5=148.60308 rank6=531.83115 rank7=359.63356
