source_file,platform,experiment,case,comm_mode,algorithm,label,mpi_procs,nthreads,nlist,local_nlist,nprobe,nblocks,hnsw_m,ef,p,query_n,mode,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,per_rank_us
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,1,,,,1000,2000,local,0.74535,190.79270,187.29810,3.49460,159.80245,187.29810,175.18780,1.06913,rank0=183.60090 rank1=159.80245 rank2=187.29810 rank3=182.65440 rank4=185.00765 rank5=168.57160 rank6=164.89115 rank7=169.67615
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,2,,,,1000,2000,local,0.89125,280.68550,277.32550,3.36000,220.32455,277.32550,252.43139,1.09862,rank0=270.85060 rank1=277.32550 rank2=220.32455 rank3=244.82575 rank4=223.75210 rank5=271.15200 rank6=239.84150 rank7=271.37915
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,4,,,,1000,2000,local,0.96515,334.59555,331.10550,3.49005,288.53160,331.10550,310.29265,1.06707,rank0=327.23920 rank1=303.59510 rank2=331.10550 rank3=326.44295 rank4=323.84815 rank5=292.80790 rank6=288.53160 rank7=288.77080
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,8,,,,1000,2000,local,0.99330,428.69895,424.32985,4.36910,367.00995,424.32985,393.02543,1.07965,rank0=421.95525 rank1=419.19875 rank2=372.63355 rank3=424.32985 rank4=367.00995 rank5=375.79255 rank6=385.00645 rank7=378.27705
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,16,,,,1000,2000,local,0.99995,561.89510,558.30700,3.58810,488.34775,558.30700,518.22283,1.07735,rank0=491.55615 rank1=558.30700 rank2=557.27500 rank3=490.07615 rank4=510.85395 rank5=496.90665 rank6=552.45995 rank7=488.34775
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,8,8,4,,,,1000,2000,local,0.98415,485.16260,481.56825,3.59435,376.13280,481.56825,433.22404,1.11159,rank0=414.69150 rank1=423.06165 rank2=453.17605 rank3=438.40100 rank4=451.90845 rank5=376.13280 rank6=481.56825 rank7=426.85260
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,4,,,,1000,2000,local,0.96515,455.86935,451.44840,4.42095,322.56795,451.44840,389.98341,1.15761,rank0=334.93880 rank1=451.44840 rank2=344.59695 rank3=443.75040 rank4=423.69460 rank5=442.72055 rank6=356.14965 rank7=322.56795
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,32,32,4,,,,1000,2000,local,0.94430,399.05550,394.97115,4.08435,312.86995,394.97115,366.74374,1.07697,rank0=339.20960 rank1=371.54445 rank2=348.09230 rank3=385.98680 rank4=388.69375 rank5=312.86995 rank6=392.58195 rank7=394.97115
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,64,64,4,,,,1000,2000,local,0.92200,223.49740,220.61845,2.87895,193.44095,220.61845,207.33184,1.06408,rank0=193.44095 rank1=202.90585 rank2=197.86330 rank3=194.56710 rank4=217.25730 rank5=214.54265 rank6=220.61845 rank7=217.45915
parameter_sweep_20260525_141037.txt,Windows MS-MPI,parameter,,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,8,2,,,,,16,10,,2000,,0.99900,123.97980,119.76520,4.21460,116.10130,119.76520,117.87268,1.01606,rank0=119.76520 rank1=118.23095 rank2=117.19090 rank3=116.86080 rank4=117.03595 rank5=119.42295 rank6=116.10130 rank7=118.37340
