source_file,platform,experiment,case,comm_mode,algorithm,label,mpi_procs,nthreads,nlist,local_nlist,nprobe,nblocks,hnsw_m,ef,p,query_n,mode,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,per_rank_us
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,1,2,16,16,4,,,,1000,2000,local,0.95945,303.30530,302.72715,0.57815,302.72715,302.72715,302.72715,1.00000,rank0=302.72715
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,2,2,16,16,4,,,,1000,2000,local,0.96460,244.43655,243.44455,0.99200,233.41550,243.44455,238.43003,1.02103,rank0=243.44455 rank1=233.41550
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,4,2,16,16,4,,,,1000,2000,local,0.96560,232.44825,230.91190,1.53635,228.04870,230.91190,229.63951,1.00554,rank0=230.91190 rank1=230.22785 rank2=229.36960 rank3=228.04870
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF-PQ,ivfpq_local_mpi_omp_inter,8,2,16,16,4,,,,1000,2000,local,0.96515,306.91350,303.57865,3.33485,276.57090,303.57865,292.19910,1.03894,rank0=303.57865 rank1=299.15485 rank2=276.57090 rank3=285.77850 rank4=297.56655 rank5=298.71315 rank6=288.05060 rank7=288.17960
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,1,2,,,,,16,50,,2000,,0.99985,155.03485,154.50880,0.52605,154.50880,154.50880,154.50880,1.00000,rank0=154.50880
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,2,2,,,,,16,50,,2000,,1.00000,229.79020,228.01555,1.77465,225.22790,228.01555,226.62172,1.00615,rank0=225.22790 rank1=228.01555
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,4,2,,,,,16,50,,2000,,1.00000,198.56360,196.74080,1.82280,193.86605,196.74080,195.51314,1.00628,rank0=196.37745 rank1=195.06825 rank2=196.74080 rank3=193.86605
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,Block-HNSW,block_hnsw_mpi_omp_multi_entry,8,2,,,,,16,50,,2000,,1.00000,195.10760,192.42225,2.68535,189.20885,192.42225,191.18768,1.00646,rank0=192.00650 rank1=190.22975 rank2=190.61670 rank3=190.97175 rank4=192.29230 rank5=192.42225 rank6=189.20885 rank7=191.75330
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF+HNSW,ivf_hnsw_nested_mpi_omp,1,2,16,16,4,,16,50,,2000,,0.95225,290.94355,290.10630,0.83725,290.10630,290.10630,290.10630,1.00000,rank0=290.10630
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF+HNSW,ivf_hnsw_nested_mpi_omp,2,2,16,16,4,,16,50,,2000,,0.96150,221.05710,220.13340,0.92370,215.17360,220.13340,217.65350,1.01139,rank0=215.17360 rank1=220.13340
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF+HNSW,ivf_hnsw_nested_mpi_omp,4,2,16,16,4,,16,50,,2000,,0.96445,230.45790,228.42545,2.03245,222.10390,228.42545,225.93706,1.01101,rank0=222.10390 rank1=228.42545 rank2=225.76580 rank3=227.45310
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,IVF+HNSW,ivf_hnsw_nested_mpi_omp,8,2,16,16,4,,16,50,,2000,,0.96450,243.89340,240.36710,3.52630,237.79840,240.36710,239.35202,1.00424,rank0=238.81425 rank1=240.36710 rank2=239.24310 rank3=238.71585 rank4=240.07630 rank5=239.72700 rank6=237.79840 rank7=240.07420
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,HNSW-on-HNSW,hnsw_on_hnsw_mpi_omp,1,2,,,8,16,16,50,,2000,,0.52115,325.77095,325.11410,0.65685,325.11410,325.11410,325.11410,1.00000,rank0=325.11410
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,HNSW-on-HNSW,hnsw_on_hnsw_mpi_omp,2,2,,,8,16,16,50,,2000,,0.52995,390.37920,388.69545,1.68375,386.49715,388.69545,387.59630,1.00284,rank0=386.49715 rank1=388.69545
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,HNSW-on-HNSW,hnsw_on_hnsw_mpi_omp,4,2,,,8,16,16,50,,2000,,0.54545,390.19790,387.57675,2.62115,382.24515,387.57675,384.83420,1.00713,rank0=387.57675 rank1=387.20410 rank2=382.31080 rank3=382.24515
scalability_20260525_145526.txt,Windows MS-MPI,scalability,,blocking,HNSW-on-HNSW,hnsw_on_hnsw_mpi_omp,8,2,,,8,16,16,50,,2000,,0.56605,389.81265,386.60440,3.20825,382.68530,386.60440,384.95194,1.00429,rank0=384.79050 rank1=385.27210 rank2=385.02440 rank3=386.60440 rank4=386.33460 rank5=384.69690 rank6=382.68530 rank7=384.20730
