Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Spin Time:Imbalance or Serial Spinning,CPU Time:Spin Time:Lock Contention,CPU Time:Spin Time:Other,CPU Time:Overhead Time,CPU Time:Overhead Time:Creation,CPU Time:Overhead Time:Scheduling,CPU Time:Overhead Time:Reduction,CPU Time:Overhead Time:Atomics,CPU Time:Overhead Time:Other,Module,Function (Full),Source File,Start Address
_Z13_mm256_mul_psDv8_fS_,3.217780,3.217780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,_Z13_mm256_mul_psDv8_fS_,avxintrin.h,0x140001680
pthread_mutex_lock,2.664210,0.0,2.664210,0.0,0.0,2.664210,0.0,0.0,0.0,0.0,0.0,0.0,libwinpthread-1.dll,pthread_mutex_lock,[Unknown],0x2e3652ef0
hnswlib::HierarchicalNSW<float>::searchBaseLayer,2.493119,2.493119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"hnswlib::HierarchicalNSW<float>::searchBaseLayer(unsigned int, void const*, int)",hnswalg.h,0x14000f480
InnerProductSIMD16ExtAVX,2.097752,2.097752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,InnerProductSIMD16ExtAVX,space_ip.h,0x140001650
_Z13_mm256_add_psDv8_fS_,1.663089,1.663089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,_Z13_mm256_add_psDv8_fS_,avxintrin.h,0x140001680
"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, hnswlib::HierarchicalNSW<float>::CompareByFirst>::pop",1.169169,1.169169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, hnswlib::HierarchicalNSW<float>::CompareByFirst>::pop(void)",stl_queue.h,0x140015440
_mm256_loadu_ps,0.590365,0.590365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,_mm256_loadu_ps(float const*),avxintrin.h,0x140001699
malloc,0.584938,0.584938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,msvcrt.dll,malloc,[Unknown],0x18001d640
_Z13_mm256_add_psDv8_fS_,0.410023,0.410023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,_Z13_mm256_add_psDv8_fS_,avxintrin.h,0x14000169e
"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, hnswlib::HierarchicalNSW<float>::CompareByFirst>::emplace<float, unsigned int&>",0.384748,0.384748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, hnswlib::HierarchicalNSW<float>::CompareByFirst>::emplace<float, unsigned int&>(float&&)",stl_queue.h,0x14000f776
hnswlib::HierarchicalNSW<float>::CompareByFirst::operator(),0.360047,0.360047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"hnswlib::HierarchicalNSW<float>::CompareByFirst::operator()(std::pair<float, unsigned int> const&, std::pair<float, unsigned int> const&) const",hnswalg.h,0x1400154da
"__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+",0.320806,0.320806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const",stl_iterator.h,0x1400154f2
"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::emplace<float, unsigned int const&>",0.320772,0.320772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::emplace<float, unsigned int const&>(float&&)",stl_queue.h,0x14000fef0
pthread_mutex_unlock,0.298703,0.0,0.298703,0.0,0.0,0.298703,0.0,0.0,0.0,0.0,0.0,0.0,libwinpthread-1.dll,pthread_mutex_unlock,[Unknown],0x2e36531c0
hnswlib::HierarchicalNSW<float>::getNeighborsByHeuristic2,0.276092,0.276092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,"hnswlib::HierarchicalNSW<float>::getNeighborsByHeuristic2(std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, hnswlib::HierarchicalNSW<float>::CompareByFirst>&, unsigned long long)",hnswalg.h,0x14000fe80
InnerProductDistanceSIMD16ExtAVX,0.270470,0.270470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main_no_mpi_profile.exe,InnerProductDistanceSIMD16ExtAVX,space_ip.h,0x140001700
WaitForMultipleObjects,0.222046,0.0,0.222046,0.0,0.0,0.222046,0.0,0.0,0.0,0.0,0.0,0.0,KERNELBASE.dll,WaitForMultipleObjects,[Unknown],0x180034ba0
