timestamp,platform,method,par_model,par_scope,par_paradigm,threads,schedule,chunk_size,p,problem_n,avg_recall,avg_latency_us,total_wall_us,throughput_qps,speedup_vs_serial,run_id
1778344903,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,11548.8,23127108,86.4786,1,local
1778344920,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,8168.96,16379272,122.106,1,local
1778344923,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,922.971,1852146,1079.83,1,local
1778344933,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1128.99,2263345,883.648,1,local
1778344937,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,853.44,1711737,1168.4,1,local
1778345861,i9_avx2,flat_simd,omp,inter,n/a,1,static,0,0,100000,0.99995,4892.19,9809028,203.894,1,local
1778345864,i9_avx2,flat_simd,omp,inter,n/a,2,static,0,0,100000,0.99995,3271.12,3287936,608.284,1,local
1778345866,i9_avx2,flat_simd,omp,inter,n/a,4,static,0,0,100000,0.99995,2323.79,1165788,1715.58,1,local
1778345867,i9_avx2,flat_simd,omp,inter,n/a,8,static,0,0,100000,0.99995,2676.17,695822,2874.3,1,local
1778345868,i9_avx2,flat_simd,omp,inter,n/a,12,static,0,0,100000,0.99995,3433.42,616204,3245.68,1,local
1778345870,i9_avx2,sq_simd,omp,inter,n/a,1,static,0,100,100000,0.99995,691.862,1387972,1440.95,1,local
1778345871,i9_avx2,sq_simd,omp,inter,n/a,2,static,0,100,100000,0.99995,658.781,663467,3014.47,1,local
1778345872,i9_avx2,sq_simd,omp,inter,n/a,4,static,0,100,100000,0.99995,783.259,396875,5039.37,1,local
1778345872,i9_avx2,sq_simd,omp,inter,n/a,8,static,0,100,100000,0.99995,819.995,230910,8661.38,1,local
1778345873,i9_avx2,sq_simd,omp,inter,n/a,12,static,0,100,100000,0.99995,956.581,183082,10924.1,1,local
1778345895,i9_avx2,pq_simd,omp,inter,n/a,1,static,0,1000,100000,0.983152,2801.23,5613830,356.263,1,local
1778345913,i9_avx2,pq_simd,omp,inter,n/a,2,static,0,1000,100000,0.983152,2607.97,2619055,763.634,1,local
1778345930,i9_avx2,pq_simd,omp,inter,n/a,4,static,0,1000,100000,0.983152,2385.48,1199352,1667.57,1,local
1778345947,i9_avx2,pq_simd,omp,inter,n/a,8,static,0,1000,100000,0.983152,3305.01,838025,2386.56,1,local
1778345962,i9_avx2,pq_simd,omp,inter,n/a,12,static,0,1000,100000,0.983152,4685.52,792080,2525,1,local
1778345968,i9_avx2,fastscan,omp,inter,n/a,1,static,0,1000,100000,0.975253,1454.38,2917079,685.617,1,local
1778345970,i9_avx2,fastscan,omp,inter,n/a,2,static,0,1000,100000,0.975253,1012.94,1020189,1960.42,1,local
1778345973,i9_avx2,fastscan,omp,inter,n/a,4,static,0,1000,100000,0.975253,1013.25,514263,3889.06,1,local
1778345975,i9_avx2,fastscan,omp,inter,n/a,8,static,0,1000,100000,0.975253,1284.45,329493,6069.93,1,local
1778345977,i9_avx2,fastscan,omp,inter,n/a,12,static,0,1000,100000,0.975253,1645.75,284072,7040.47,1,local
1778351444,i9_avx2,flat_simd,omp,intra,n/a,1,static,0,0,100000,0.99995,11992.4,24006360,83.3113,1,local
1778351454,i9_avx2,flat_simd,omp,intra,n/a,2,static,0,0,100000,0.99995,5147.98,10311793,193.953,1,local
