timestamp,platform,method,par_model,par_scope,par_paradigm,threads,schedule,chunk_size,p,problem_n,avg_recall,avg_latency_us,total_wall_us,throughput_qps,speedup_vs_serial,run_id
1778406097,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,6346.14,12713939,157.308,1,local
1778406105,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3926.76,7878738,253.848,1,local
1778406108,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1239.23,2486131,804.463,1,local
1778406122,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1940.46,3889939,514.147,1,local
1778406128,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1482.72,2974015,672.492,1,local
1778406139,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,5468.02,10955495,182.557,1,local
1778406145,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3107.02,6233022,320.872,1,local
1778406148,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1011.13,2028583,985.91,1,local
1778406164,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,2082.06,4174059,479.15,1,local
1778406170,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1663.46,3336588,599.415,1,local
1778406184,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,6771.61,13567087,147.416,1,local
1778406191,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3730.41,7484625,267.214,1,local
1778406194,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1039.09,2084818,959.316,1,local
1778406210,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,2173.57,4357265,459.004,1,local
1778406216,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1648.77,3308058,604.584,1,local
1778406230,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,7062.05,14149004,141.353,1,local
1778406237,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3264.69,6550234,305.333,1,local
1778406239,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,969.044,1944609,1028.48,1,local
1778406254,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,2069.23,4148225,482.134,1,local
1778406258,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1124.65,2255466,886.735,1,local
1778406270,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,5714.52,11448574,174.694,1,local
1778406277,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3364.6,6750053,296.294,1,local
1778406279,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1065.44,2137738,935.568,1,local
1778406292,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1886.07,3781821,528.846,1,local
1778406298,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1419.1,2847286,702.423,1,local
1778406311,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,6659.46,13343838,149.882,1,local
1778406319,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3828.16,7680778,260.39,1,local
1778406322,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1227.93,2463855,811.736,1,local
1778406337,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1692.04,3392495,589.537,1,local
1778406342,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1384.75,2777964,719.952,1,local
1778406350,i9_avx2,flat_simd,omp,inter,n/a,1,static,0,0,100000,0.99995,3786.59,7599501,263.175,1,local
1778406354,i9_avx2,flat_simd,omp,inter,n/a,2,static,0,0,100000,0.99995,4269.25,4286579,466.573,1,local
1778406355,i9_avx2,flat_simd,omp,inter,n/a,4,static,0,0,100000,0.99995,2636.65,1321728,1513.17,1,local
1778406357,i9_avx2,flat_simd,omp,inter,n/a,6,static,0,0,100000,0.99995,2927.68,979111,2042.67,1,local
1778406358,i9_avx2,flat_simd,omp,inter,n/a,8,static,0,0,100000,0.99995,3264.15,819703,2439.91,1,local
1778406359,i9_avx2,flat_simd,omp,inter,n/a,12,static,0,0,100000,0.99995,4828.02,833177,2400.45,1,local
1778406361,i9_avx2,sq_simd,omp,inter,n/a,1,static,0,100,100000,0.99995,1047.4,2101527,951.689,1,local
1778406362,i9_avx2,sq_simd,omp,inter,n/a,2,static,0,100,100000,0.99995,836.52,841797,2375.87,1,local
1778406363,i9_avx2,sq_simd,omp,inter,n/a,4,static,0,100,100000,0.99995,866.585,444376,4500.69,1,local
1778406364,i9_avx2,sq_simd,omp,inter,n/a,6,static,0,100,100000,0.99995,850.859,297256,6728.21,1,local
1778406365,i9_avx2,sq_simd,omp,inter,n/a,8,static,0,100,100000,0.99995,931.065,254910,7845.91,1,local
1778406365,i9_avx2,sq_simd,omp,inter,n/a,12,static,0,100,100000,0.99995,1255.9,219804,9099.02,1,local
1778406380,i9_avx2,pq_simd,omp,inter,n/a,1,static,0,1000,100000,0.983152,2143.68,4298317,465.298,1,local
1778406393,i9_avx2,pq_simd,omp,inter,n/a,2,static,0,1000,100000,0.983152,1822.31,1829945,1092.93,1,local
1778406404,i9_avx2,pq_simd,omp,inter,n/a,4,static,0,1000,100000,0.983152,1824.02,942989,2120.92,1,local
1778406417,i9_avx2,pq_simd,omp,inter,n/a,6,static,0,1000,100000,0.983152,1871.5,648820,3082.52,1,local
1778406429,i9_avx2,pq_simd,omp,inter,n/a,8,static,0,1000,100000,0.983152,2117.55,556934,3591.09,1,local
1778406440,i9_avx2,pq_simd,omp,inter,n/a,12,static,0,1000,100000,0.983152,2164.15,380014,5262.96,1,local
1778406444,i9_avx2,fastscan,omp,inter,n/a,1,static,0,1000,100000,0.975253,1165.35,2337724,855.533,1,local
1778406448,i9_avx2,fastscan,omp,inter,n/a,2,static,0,1000,100000,0.975253,1163.08,1177266,1698.85,1,local
1778406451,i9_avx2,fastscan,omp,inter,n/a,4,static,0,1000,100000,0.975253,1022.98,521221,3837.14,1,local
1778406453,i9_avx2,fastscan,omp,inter,n/a,6,static,0,1000,100000,0.975253,1162.26,401303,4983.77,1,local
1778406457,i9_avx2,fastscan,omp,inter,n/a,8,static,0,1000,100000,0.975253,1817.45,470362,4252.04,1,local
1778406459,i9_avx2,fastscan,omp,inter,n/a,12,static,0,1000,100000,0.975253,2083.93,369688,5409.97,1,local
1778406466,i9_avx2,flat_simd,omp,intra,n/a,1,static,0,0,100000,0.99995,3512.51,7034718,284.304,1,local
1778406471,i9_avx2,flat_simd,omp,intra,n/a,2,static,0,0,100000,0.99995,2176.48,4363045,458.395,1,local
1778406474,i9_avx2,flat_simd,omp,intra,n/a,4,static,0,0,100000,0.99995,1425.87,2860600,699.154,1,local
1778406477,i9_avx2,flat_simd,omp,intra,n/a,6,static,0,0,100000,0.99995,1306.53,2622715,762.569,1,local
1778406479,i9_avx2,flat_simd,omp,intra,n/a,8,static,0,0,100000,0.99995,1259.38,2528851,790.873,1,local
1778406482,i9_avx2,flat_simd,omp,intra,n/a,12,static,0,0,100000,0.99995,1166.45,2342371,853.836,1,local
1778406485,i9_avx2,sq_simd,omp,intra,n/a,1,static,0,100,100000,0.99995,1417.46,2843236,703.424,1,local
1778406487,i9_avx2,sq_simd,omp,intra,n/a,2,static,0,100,100000,0.99995,514.661,1033894,1934.43,1,local
1778406488,i9_avx2,sq_simd,omp,intra,n/a,4,static,0,100,100000,0.99995,478.163,962371,2078.2,1,local
1778406489,i9_avx2,sq_simd,omp,intra,n/a,6,static,0,100,100000,0.99995,456.687,918669,2177.06,1,local
1778406491,i9_avx2,sq_simd,omp,intra,n/a,8,static,0,100,100000,0.99995,477.94,961266,2080.59,1,local
