timestamp,platform,method,par_model,par_scope,par_paradigm,threads,schedule,chunk_size,p,problem_n,avg_recall,avg_latency_us,total_wall_us,throughput_qps,speedup_vs_serial,run_id
1778405542,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,5341.63,10704529,186.837,1,local
1778405551,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,4174.2,8377328,238.74,1,local
1778405555,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,1207.47,2422864,825.469,1,local
1778405570,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1814.83,3639630,549.506,1,local
1778405575,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1194.65,2397041,834.362,1,local
1778405586,i9_avx2,flat_baseline,serial,none,n/a,1,n/a,0,0,100000,0.99995,5122.83,10265065,194.836,1,local
1778405592,i9_avx2,flat_simd,serial,none,n/a,1,n/a,0,0,100000,0.99995,3017.55,6054515,330.332,1,local
1778405594,i9_avx2,sq_simd,serial,none,n/a,1,n/a,0,100,100000,0.99995,733.83,1472201,1358.51,1,local
1778405606,i9_avx2,pq_simd,serial,none,n/a,1,n/a,0,1000,100000,0.983152,1566.26,3140149,636.912,1,local
1778405610,i9_avx2,fastscan,serial,none,n/a,1,n/a,0,1000,100000,0.975253,1065.94,2138098,935.411,1,local
1778405616,i9_avx2,flat_simd,omp,inter,n/a,1,static,0,0,100000,0.99995,2654.73,5326690,375.468,1,local
1778405617,i9_avx2,flat_simd,omp,inter,n/a,12,static,0,0,100000,0.99995,4373.67,770089,2597.1,1,local
1778405620,i9_avx2,sq_simd,omp,inter,n/a,1,static,0,100,100000,0.99995,898.372,1802282,1109.7,1,local
1778405620,i9_avx2,sq_simd,omp,inter,n/a,12,static,0,100,100000,0.99995,1441.35,281066,7115.77,1,local
1778405633,i9_avx2,pq_simd,omp,inter,n/a,1,static,0,1000,100000,0.983152,1575.61,3159285,633.055,1,local
1778405643,i9_avx2,pq_simd,omp,inter,n/a,12,static,0,1000,100000,0.983152,2416.21,435463,4592.81,1,local
1778405647,i9_avx2,fastscan,omp,inter,n/a,1,static,0,1000,100000,0.975253,1132.43,2272158,880.22,1,local
1778405650,i9_avx2,fastscan,omp,inter,n/a,12,static,0,1000,100000,0.975253,2403.85,480851,4159.29,1,local
1778405656,i9_avx2,flat_simd,omp,intra,n/a,1,static,0,0,100000,0.99995,2941.19,5890138,339.551,1,local
1778405659,i9_avx2,flat_simd,omp,intra,n/a,12,static,0,0,100000,0.99995,1143.4,2294083,871.808,1,local
1778405662,i9_avx2,sq_simd,omp,intra,n/a,1,static,0,100,100000,0.99995,1059.39,2124405,941.44,1,local
1778405664,i9_avx2,sq_simd,omp,intra,n/a,12,static,0,100,100000,0.99995,570.692,1146551,1744.36,1,local
1778405678,i9_avx2,pq_simd,omp,intra,n/a,1,static,0,1000,100000,0.983152,1877.49,3764945,531.216,1,local
1778405693,i9_avx2,pq_simd,omp,intra,n/a,12,static,0,1000,100000,0.983152,2506.77,5021757,398.267,1,local
1778405698,i9_avx2,fastscan,omp,intra,n/a,1,static,0,1000,100000,0.975453,1103.69,2213854,903.402,1,local
1778405705,i9_avx2,fastscan,omp,intra,n/a,12,static,0,1000,100000,0.975453,2538.25,5083539,393.427,1,local
1778405712,i9_avx2,flat_simd,pthread,inter,dynamic,1,static,0,0,100000,0.99995,3266.03,6554715,305.124,1,local
1778405713,i9_avx2,flat_simd,pthread,inter,dynamic,12,static,0,0,100000,0.99995,4337.35,753746,2653.41,1,local
1778405717,i9_avx2,sq_simd,pthread,inter,dynamic,1,static,0,100,100000,0.99995,1213.21,2434721,821.449,1,local
1778405718,i9_avx2,sq_simd,pthread,inter,dynamic,12,static,0,100,100000,0.99995,1360.02,250179,7994.28,1,local
1778405733,i9_avx2,pq_simd,pthread,inter,dynamic,1,static,0,1000,100000,0.983152,1704.03,3418357,585.076,1,local
1778405743,i9_avx2,pq_simd,pthread,inter,dynamic,12,static,0,1000,100000,0.983152,2371.52,409457,4884.52,1,local
1778405748,i9_avx2,fastscan,pthread,inter,dynamic,1,static,0,1000,100000,0.975253,1051.49,2110497,947.644,1,local
1778405750,i9_avx2,fastscan,pthread,inter,dynamic,12,static,0,1000,100000,0.975253,1770.61,305734,6541.63,1,local
1778405757,i9_avx2,flat_simd,pthread,inter,barrier,1,static,0,0,100000,0.99995,2920.16,5861027,341.237,1,local
1778405758,i9_avx2,flat_simd,pthread,inter,barrier,12,static,0,0,100000,0.99995,4579.71,830239,2408.94,1,local
1778405761,i9_avx2,sq_simd,pthread,inter,barrier,1,static,0,100,100000,0.99995,828.326,1662310,1203.15,1,local
1778405761,i9_avx2,sq_simd,pthread,inter,barrier,12,static,0,100,100000,0.99995,1140.81,213180,9381.74,1,local
1778405774,i9_avx2,pq_simd,pthread,inter,barrier,1,static,0,1000,100000,0.983152,1584.82,3178191,629.289,1,local
1778405784,i9_avx2,pq_simd,pthread,inter,barrier,12,static,0,1000,100000,0.983152,2657.75,458858,4358.65,1,local
1778405789,i9_avx2,fastscan,pthread,inter,barrier,1,static,0,1000,100000,0.975253,1087.17,2182936,916.197,1,local
1778405791,i9_avx2,fastscan,pthread,inter,barrier,12,static,0,1000,100000,0.975253,1974.25,353587,5656.32,1,local
1778405797,i9_avx2,flat_simd,pthread,inter,pool,1,dynamic,64,0,100000,0.99995,2760.27,5538632,361.1,1,local
1778405798,i9_avx2,flat_simd,pthread,inter,pool,12,dynamic,64,0,100000,0.99995,4188.14,786030,2544.43,1,local
1778405801,i9_avx2,sq_simd,pthread,inter,pool,1,dynamic,64,100,100000,0.99995,998.432,2004100,997.954,1,local
1778405802,i9_avx2,sq_simd,pthread,inter,pool,12,dynamic,64,100,100000,0.99995,1164.19,223742,8938.87,1,local
1778405815,i9_avx2,pq_simd,pthread,inter,pool,1,dynamic,64,1000,100000,0.983152,1546.59,3101713,644.805,1,local
1778405825,i9_avx2,pq_simd,pthread,inter,pool,12,dynamic,64,1000,100000,0.983152,3250.37,599905,3333.86,1,local
1778405830,i9_avx2,fastscan,pthread,inter,pool,1,dynamic,64,1000,100000,0.975253,1173.57,2354617,849.395,1,local
1778405832,i9_avx2,fastscan,pthread,inter,pool,12,dynamic,64,1000,100000,0.975253,1642.77,308326,6486.64,1,local
1778405839,i9_avx2,flat_simd,pthread,intra,dynamic,1,static,0,0,100000,0.99995,3282.49,6573511,304.251,1,local
1778405843,i9_avx2,flat_simd,pthread,intra,dynamic,12,static,0,0,100000,0.99995,1763.57,3535208,565.738,1,local
1778405847,i9_avx2,sq_simd,pthread,intra,dynamic,1,static,0,100,100000,0.99995,1326.22,2660682,751.687,1,local
1778405850,i9_avx2,sq_simd,pthread,intra,dynamic,12,static,0,100,100000,0.99995,1332.98,2672895,748.252,1,local
1778405864,i9_avx2,pq_simd,pthread,intra,dynamic,1,static,0,1000,100000,0.983152,2637.46,5286783,378.302,1,local
1778405884,i9_avx2,pq_simd,pthread,intra,dynamic,12,static,0,1000,100000,0.983152,4492.49,8998378,222.262,1,local
1778405892,i9_avx2,fastscan,pthread,intra,dynamic,1,static,0,1000,100000,0.975453,2094.55,4200130,476.176,1,local
1778405902,i9_avx2,fastscan,pthread,intra,dynamic,12,static,0,1000,100000,0.975453,4094.31,8200920,243.875,1,local
1778405911,i9_avx2,flat_simd,pthread,intra,barrier,1,static,0,0,100000,0.99995,3929.12,7871070,254.095,1,local
1778405914,i9_avx2,flat_simd,pthread,intra,barrier,12,static,0,0,100000,0.99995,1164.24,2344944,852.899,1,local
1778405918,i9_avx2,sq_simd,pthread,intra,barrier,1,static,0,100,100000,0.99995,1582.88,3177081,629.509,1,local
1778405919,i9_avx2,sq_simd,pthread,intra,barrier,12,static,0,100,100000,0.99995,409.995,827925,2415.68,1,local
1778405935,i9_avx2,pq_simd,pthread,intra,barrier,1,static,0,1000,100000,0.983152,1854.61,3719051,537.772,1,local
1778405951,i9_avx2,pq_simd,pthread,intra,barrier,12,static,0,1000,100000,0.983152,2369.48,4749171,421.126,1,local
1778405957,i9_avx2,fastscan,pthread,intra,barrier,1,static,0,1000,100000,0.975453,1593.18,3196977,625.591,1,local
1778405965,i9_avx2,fastscan,pthread,intra,barrier,12,static,0,1000,100000,0.975453,2931.35,5875156,340.416,1,local
1778405974,i9_avx2,flat_simd,pthread,intra,pool,1,dynamic,1024,0,100000,0.99995,4103.83,8219066,243.337,1,local
1778405976,i9_avx2,flat_simd,pthread,intra,pool,12,dynamic,1024,0,100000,0.99995,817.136,1644305,1216.32,1,local
1778405985,i9_avx2,sq_simd,pthread,intra,pool,1,dynamic,1024,100,100000,0.99995,4289.9,8593065,232.746,1,local
1778405987,i9_avx2,sq_simd,pthread,intra,pool,12,dynamic,1024,100,100000,0.99995,700.493,1409585,1418.86,1,local
1778406026,i9_avx2,pq_simd,pthread,intra,pool,1,dynamic,1024,1000,100000,0.983152,14798.5,29608211,67.5488,1,local
1778406045,i9_avx2,pq_simd,pthread,intra,pool,12,dynamic,1024,1000,100000,0.983152,4034.54,8085306,247.362,1,local
1778406054,i9_avx2,fastscan,pthread,intra,pool,1,dynamic,1024,1000,100000,0.975453,3134.2,6278344,318.555,1,local
1778406061,i9_avx2,fastscan,pthread,intra,pool,12,dynamic,1024,1000,100000,0.975453,1965.11,3941111,507.471,1,local
