"algo","strategy","threads","recall","latency_us","extra"
"flat","omp_inter","1","0.99995","5760.85078",""
"flat","omp_intra","1","0.99995","5778.96786",""
"flat","pthread_static_inter","1","0.99995","5679.01575",""
"flat","pthread_dynamic_inter","1","0.99995","7886.77135",""
"flat","pthread_pool_inter","1","0.99995","6348.48770",""
"flat","pthread_static_intra","1","0.99995","6198.98453",""
"flat","pthread_dynamic_intra","1","0.99995","7210.61320",""
"flat","pthread_pool_intra","1","0.99995","6544.74817",""
"flat","omp_inter","2","0.99995","2995.01394",""
"flat","omp_intra","2","0.99995","3097.45896",""
"flat","pthread_static_inter","2","0.99995","2939.08240",""
"flat","pthread_dynamic_inter","2","0.99995","3324.09841",""
"flat","pthread_pool_inter","2","0.99995","3803.29866",""
"flat","pthread_static_intra","2","0.99995","4322.04702",""
"flat","pthread_dynamic_intra","2","0.99995","10472.69101",""
"flat","pthread_pool_intra","2","0.99995","4117.12630",""
"flat","omp_inter","4","0.99995","2391.96867",""
"flat","omp_intra","4","0.99995","1680.27043",""
"flat","pthread_static_inter","4","0.99995","2139.40102",""
"flat","pthread_dynamic_inter","4","0.99995","1656.21680",""
"flat","pthread_pool_inter","4","0.99995","1742.22325",""
"flat","pthread_static_intra","4","0.99995","2425.85690",""
"flat","pthread_dynamic_intra","4","0.99995","17204.15978",""
"flat","pthread_pool_intra","4","0.99995","2410.35334",""
"flat","omp_inter","8","0.99995","1246.58575",""
"flat","omp_intra","8","0.99995","760.46524",""
"flat","pthread_static_inter","8","0.99995","1281.34959",""
"flat","pthread_dynamic_inter","8","0.99995","940.28683",""
"flat","pthread_pool_inter","8","0.99995","957.56733",""
"flat","pthread_static_intra","8","0.99995","2401.06291",""
"flat","pthread_dynamic_intra","8","0.99995","29580.24137",""
"flat","pthread_pool_intra","8","0.99995","2527.13441",""
"flat","omp_inter","16","0.99995","1038.64774",""
"flat","omp_intra","16","0.99995","1725.28276",""
"flat","pthread_static_inter","16","0.99995","998.44931",""
"flat","pthread_dynamic_inter","16","0.99995","935.81718",""
"flat","pthread_pool_inter","16","0.99995","940.15909",""
"flat","pthread_static_intra","16","0.99995","2427.82935",""
"flat","pthread_dynamic_intra","16","0.99995","31179.68001",""
"flat","pthread_pool_intra","16","0.99995","3136.42186",""
"sq","omp_inter","1","0.99995","2537.15413","p=100"
"sq","pthread_static_inter","1","0.99995","2403.81354","p=100"
"sq","pthread_dynamic_inter","1","0.99995","2388.66142","p=100"
"sq","pthread_pool_inter","1","0.99995","2384.74762","p=100"
"sq","omp_intra","1","0.99995","2446.26815","p=100"
"sq","pthread_static_intra","1","0.99995","3062.20282","p=100"
"sq","pthread_dynamic_intra","1","0.99995","2841.92704","p=100"
"sq","pthread_pool_intra","1","0.99995","2933.72684","p=100"
"sq","omp_inter","4","0.99995","757.68203","p=100"
"sq","pthread_static_inter","4","0.99995","788.70690","p=100"
"sq","pthread_dynamic_inter","4","0.99995","703.75681","p=100"
