"algorithm","granularity","best_variant","threads","recall","latency_us"
"fastscan","inter","fastscan_pthread_dynamic_inter","16","0.97525","125.81315"
"fastscan","intra","fastscan_omp_intra","1","0.97545","1322.7642"
"flat","inter","flat_pthread_dynamic_inter","16","0.99995","298.95235"
"flat","intra","flat_omp_intra","16","0.99995","1726.08815"
"ivf","inter","ivf_pthread_pool_inter","16","0.96225","104.67185"
"ivf","intra","ivf_omp_intra","2","0.96225","628.6226"
"ivfpq","inter","ivfpq_pthread_dynamic_inter","16","0.6918","27.44455"
"ivfpq","intra","ivfpq_pthread_dynamic_intra","4","0.6918","410.30815"
"pq","inter","pq_pthread_dynamic_inter","16","0.7086","73.06375"
"pq","intra","pq_omp_intra","2","0.7087","528.97"
"sq","inter","sq_pthread_dynamic_inter","16","0.99995","86.52985"
"sq","intra","sq_omp_intra","4","0.99995","704.3112"
