"variant","threads","recall","latency_us"
"hnsw_baseline","1","0.96865","65.483"
"hnsw_ivf_nested_static","16","0.94705","221.89735"
"hnsw_ivf_nested_omp","8","0.94705","315.1246"
"hnsw_multi_entry_dynamic","1","0.96825","316.30175"
"hnsw_multi_entry_omp","1","0.96825","345.50435"
"hnsw_edge_omp","1","0.99915","390.9097"
"hnsw_multi_entry_static","1","0.96825","687.1624"
"hnsw_edge_static","1","0.99915","1181.8446"
"hnsw_multi_entry_pool","1","0.96825","1221.50035"
"hnsw_layer0_static","4","0.99995","3400.40895"
"hnsw_layer0_omp","8","0.99995","3603.25155"
