"file","algorithm","threads","nlist","nprobe","p","mode","recall","latency_us"
"tradeoff_ivf_pool_inter_t16_np1.txt","ivf","16","16","1","","","0.73665","61.4652"
"tradeoff_ivf_pool_inter_t16_np16.txt","ivf","16","16","16","","","0.99995","455.89"
"tradeoff_ivf_pool_inter_t16_np2.txt","ivf","16","16","2","","","0.8787","93.4091"
"tradeoff_ivf_pool_inter_t16_np4.txt","ivf","16","16","4","","","0.96225","131.5356"
"tradeoff_ivf_pool_inter_t16_np8.txt","ivf","16","16","8","","","0.9943","210.35065"
"tradeoff_ivfpq_dynamic_inter_t16_np1_global.txt","ivfpq","16","16","1","100","global","0.5624","49.7257"
"tradeoff_ivfpq_dynamic_inter_t16_np1_local.txt","ivfpq","16","16","1","100","local","0.65885","12.73905"
"tradeoff_ivfpq_dynamic_inter_t16_np16_global.txt","ivfpq","16","16","16","100","global","0.7087","81.4272"
"tradeoff_ivfpq_dynamic_inter_t16_np16_local.txt","ivfpq","16","16","16","100","local","0.8401","92.6511"
"tradeoff_ivfpq_dynamic_inter_t16_np2_global.txt","ivfpq","16","16","2","100","global","0.6484","59.39325"
"tradeoff_ivfpq_dynamic_inter_t16_np2_local.txt","ivfpq","16","16","2","100","local","0.7648","21.07595"
"tradeoff_ivfpq_dynamic_inter_t16_np4_global.txt","ivfpq","16","16","4","100","global","0.6918","85.0774"
"tradeoff_ivfpq_dynamic_inter_t16_np4_local.txt","ivfpq","16","16","4","100","local","0.82035","28.9851"
"tradeoff_ivfpq_dynamic_inter_t16_np8_global.txt","ivfpq","16","16","8","100","global","0.70725","47.2372"
"tradeoff_ivfpq_dynamic_inter_t16_np8_local.txt","ivfpq","16","16","8","100","local","0.8376","48.1465"
