Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
ann_pq_blocked_avx2::argmin_l2_blocked	15.489778	15.489778	0.0	0.0	vtune_bench.exe	ann_pq_blocked_avx2::argmin_l2_blocked(float const*, float const*, int, int, int, int)	pq_blocked_avx2.h	0x1400063de
_Z15_mm256_fmadd_psDv8_fS_S_	4.164174	4.164174	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002be2
ann_pq_blocked_avx2::argmin_l2_blocked	2.914851	2.914851	0.0	0.0	vtune_bench.exe	ann_pq_blocked_avx2::argmin_l2_blocked(float const*, float const*, int, int, int, int)	pq_blocked_avx2.h	0x140009194
adc_distance	2.370905	2.370905	0.0	0.0	vtune_bench.exe	adc_distance(float const*, unsigned char const*, int)	pq_scan_avx2.h	0x1400031b3
ann_avx2::ip_distance_avx2	2.210632	2.210632	0.0	0.0	vtune_bench.exe	ann_avx2::ip_distance_avx2(float const*, float const*, int)	flat_scan_avx2.h	0x140002b7c
_Z15_mm256_fmadd_psDv8_fS_S_	2.127135	2.127135	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002bc4
_mm256_set1_ps	2.010794	2.010794	0.0	0.0	vtune_bench.exe	_mm256_set1_ps(float)	avxintrin.h	0x140006980
_Z15_mm256_fmadd_psDv8_fS_S_	1.768203	1.768203	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140006994
_unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__ops::_Iter_comp_iter<ann_fs::fastscan_search(const FastScanIndex&, float const*, float const*, size_t, int)::<lambda(uint32_t, uint32_t)> > >	1.574894	1.574894	0.0	0.0	vtune_bench.exe	_unguarded_partition<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__ops::_Iter_comp_iter<ann_fs::fastscan_search(const FastScanIndex&, float const*, float const*, size_t, int)::<lambda(uint32_t, uint32_t)> > >	stl_algo.h	0x140002723
_Z15_mm256_fmadd_psDv8_fS_S_	1.151557	1.151557	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002bdd
_Z13_mm256_sub_psDv8_fS_	0.942645	0.942645	0.0	0.0	vtune_bench.exe	_Z13_mm256_sub_psDv8_fS_	avxintrin.h	0x140006980
_Z14_mm256_hadd_psDv8_fS_	0.862891	0.862891	0.0	0.0	vtune_bench.exe	_Z14_mm256_hadd_psDv8_fS_	avxintrin.h	0x140002c4f
ann_pq_blocked_avx2::argmin_l2_blocked	0.826273	0.826273	0.0	0.0	vtune_bench.exe	ann_pq_blocked_avx2::argmin_l2_blocked(float const*, float const*, int, int, int, int)	pq_blocked_avx2.h	0x140006666
_mm256_loadu_ps	0.772940	0.772940	0.0	0.0	vtune_bench.exe	_mm256_loadu_ps(float const*)	avxintrin.h	0x140006980
train_fastscan	0.765975	0.765975	0.0	0.0	vtune_bench.exe	train_fastscan	pq_fastscan_avx2_safe.h	0x140008edd
pq_search	0.695752	0.695752	0.0	0.0	vtune_bench.exe	pq_search(float*, float*, unsigned long long, unsigned long long, unsigned long long, PQIndex const&, unsigned long long)	pq_scan_avx2.h	0x140003030
std::less<std::pair<float, unsigned int>>::operator()	0.644104	0.644104	0.0	0.0	vtune_bench.exe	std::less<std::pair<float, unsigned int>>::operator()(std::pair<float, unsigned int> const&, std::pair<float, unsigned int> const&) const	stl_function.h	0x14000353d
_Z16_mm256_storeu_psPfDv8_f	0.575454	0.575454	0.0	0.0	vtune_bench.exe	_Z16_mm256_storeu_psPfDv8_f	avxintrin.h	0x14000699e
_Z22_mm256_castps256_ps128Dv8_f	0.562048	0.562048	0.0	0.0	vtune_bench.exe	_Z22_mm256_castps256_ps128Dv8_f	avxintrin.h	0x140002c53
flat_search	0.508778	0.508778	0.0	0.0	vtune_bench.exe	flat_search(float*, float*, unsigned long long, unsigned long long, unsigned long long)	flat_scan_avx2.h	0x140002b00
ann_avx2::ip_distance_avx2	0.464058	0.464058	0.0	0.0	vtune_bench.exe	ann_avx2::ip_distance_avx2(float const*, float const*, int)	flat_scan_avx2.h	0x140003300
std::vector<unsigned int, std::allocator<unsigned int>>::vector	0.437672	0.437672	0.0	0.0	vtune_bench.exe	std::vector<unsigned int, std::allocator<unsigned int>>::vector(unsigned long long, std::allocator<unsigned int> const&)	stl_vector.h	0x1400020b6
std::min<int>	0.437305	0.437305	0.0	0.0	vtune_bench.exe	std::min<int>(int const&, int const&)	stl_algobase.h	0x140006953
PQIndex::build	0.393449	0.393449	0.0	0.0	vtune_bench.exe	PQIndex::build(float const*, unsigned long long, unsigned long long, int, int, int)	pq_scan_avx2.h	0x140005f00
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::size	0.380874	0.380874	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::size(void) const	stl_queue.h	0x140002c96
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop	0.341925	0.341925	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop(void)	stl_queue.h	0x1400034d7
__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--	0.340320	0.340320	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--(void)	stl_iterator.h	0x140002780
__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++	0.301177	0.301177	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)	stl_iterator.h	0x140002760
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push	0.300064	0.300064	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::push(std::pair<float, unsigned int>&&)	stl_queue.h	0x1400034a1
__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++	0.277324	0.277324	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator++(void)	stl_iterator.h	0x140002799
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+	0.245610	0.245610	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const	stl_iterator.h	0x140003541
_Z15_mm256_fmadd_psDv8_fS_S_	0.242155	0.242155	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002bc0
std::iota<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int>	0.186052	0.186052	0.0	0.0	vtune_bench.exe	std::iota<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, unsigned int)	stl_numeric.h	0x140002112
operator()	0.173326	0.173326	0.0	0.0	vtune_bench.exe	operator()	pq_fastscan_avx2_safe.h	0x140002771
_Z13_mm256_add_psDv8_fS_	0.171682	0.171682	0.0	0.0	vtune_bench.exe	_Z13_mm256_add_psDv8_fS_	avxintrin.h	0x140002bfc
std::less<std::pair<float, unsigned int>>::operator()	0.166847	0.166847	0.0	0.0	vtune_bench.exe	std::less<std::pair<float, unsigned int>>::operator()(std::pair<float, unsigned int> const&, std::pair<float, unsigned int> const&) const	stl_function.h	0x1400017ea
std::vector<unsigned char, std::allocator<unsigned char>>::vector	0.165724	0.165724	0.0	0.0	vtune_bench.exe	std::vector<unsigned char, std::allocator<unsigned char>>::vector(unsigned long long, unsigned char const&, std::allocator<unsigned char> const&)	stl_vector.h	0x140001f52
_Z14_mm256_hadd_psDv8_fS_	0.142902	0.142902	0.0	0.0	vtune_bench.exe	_Z14_mm256_hadd_psDv8_fS_	avxintrin.h	0x140002c4b
std::vector<unsigned char, std::allocator<unsigned char>>::~vector	0.136271	0.122099	0.014173	0.0	vtune_bench.exe	std::vector<unsigned char, std::allocator<unsigned char>>::~vector(void)	stl_vector.h	0x1400022ed
ann_pq_blocked_avx2::argmin_l2_blocked	0.130438	0.130438	0.0	0.0	vtune_bench.exe	ann_pq_blocked_avx2::argmin_l2_blocked(float const*, float const*, int, int, int, int)	pq_blocked_avx2.h	0x140009478
_Z15_mm256_fmadd_psDv8_fS_S_	0.125608	0.125608	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140002204
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::size	0.122913	0.122913	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::size(void) const	stl_queue.h	0x140003200
std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop	0.100727	0.100727	0.0	0.0	vtune_bench.exe	std::priority_queue<std::pair<float, unsigned int>, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>, std::less<std::pair<float, unsigned int>>>::pop(void)	stl_queue.h	0x1400032d0
fastscan_batch32	0.099387	0.099387	0.0	0.0	vtune_bench.exe	fastscan_batch32	pq_fastscan_avx2_safe.h	0x140001fb2
_mm_add_ss	0.099319	0.099319	0.0	0.0	vtune_bench.exe	_mm_add_ss(, void, _fS_)	xmmintrin.h	0x140002c5d
_mm256_set1_ps	0.098005	0.098005	0.0	0.0	vtune_bench.exe	_mm256_set1_ps(float)	avxintrin.h	0x140009a00
__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+	0.097487	0.097487	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<std::pair<float, unsigned int>*, std::vector<std::pair<float, unsigned int>, std::allocator<std::pair<float, unsigned int>>>>::operator+(long long) const	stl_iterator.h	0x1400017f8
std::min<int>	0.094658	0.094658	0.0	0.0	vtune_bench.exe	std::min<int>(int const&, int const&)	stl_algobase.h	0x140006920
_mm256_set1_ps	0.088809	0.088809	0.0	0.0	vtune_bench.exe	_mm256_set1_ps(float)	avxintrin.h	0x140006720
malloc	0.085394	0.085394	0.0	0.0	msvcrt.dll	malloc	[Unknown]	0x18001d640
std::iter_swap<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>	0.082256	0.082256	0.0	0.0	vtune_bench.exe	std::iter_swap<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>)	stl_algobase.h	0x140002796
operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> > >	0.077957	0.077957	0.0	0.0	vtune_bench.exe	operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> > >	predefined_ops.h	0x140002771
_mm256_loadu_ps	0.069543	0.069543	0.0	0.0	vtune_bench.exe	_mm256_loadu_ps(float const*)	avxintrin.h	0x140006720
__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--	0.066948	0.066948	0.0	0.0	vtune_bench.exe	__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int>>>::operator--(void)	stl_iterator.h	0x140002771
_mm256_loadu_ps	0.062979	0.062979	0.0	0.0	vtune_bench.exe	_mm256_loadu_ps(float const*)	avxintrin.h	0x140009a00
std::min<int>	0.062878	0.062878	0.0	0.0	vtune_bench.exe	std::min<int>(int const&, int const&)	stl_algobase.h	0x1400099c3
_Z13_mm256_sub_psDv8_fS_	0.061059	0.061059	0.0	0.0	vtune_bench.exe	_Z13_mm256_sub_psDv8_fS_	avxintrin.h	0x140006720
std::less<std::pair<float, unsigned int>>::operator()	0.059770	0.059770	0.0	0.0	vtune_bench.exe	std::less<std::pair<float, unsigned int>>::operator()(std::pair<float, unsigned int> const&, std::pair<float, unsigned int> const&) const	stl_function.h	0x140003640
std::vector<unsigned int, std::allocator<unsigned int>>::~vector	0.058265	0.058265	0.0	0.0	vtune_bench.exe	std::vector<unsigned int, std::allocator<unsigned int>>::~vector(void)	stl_vector.h	0x1400022e0
_Z15_mm256_fmadd_psDv8_fS_S_	0.052749	0.052749	0.0	0.0	vtune_bench.exe	_Z15_mm256_fmadd_psDv8_fS_S_	fmaintrin.h	0x140006734
_Z13_mm256_add_psDv8_fS_	0.052410	0.052410	0.0	0.0	vtune_bench.exe	_Z13_mm256_add_psDv8_fS_	avxintrin.h	0x140002c43
fastscan_search	0.051298	0.051298	0.0	0.0	vtune_bench.exe	fastscan_search	pq_fastscan_avx2_safe.h	0x140001d83
operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> > >	0.046746	0.046746	0.0	0.0	vtune_bench.exe	operator()<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int> > >	predefined_ops.h	0x140002723
_mm256_adds_epu8	0.043019	0.043019	0.0	0.0	vtune_bench.exe	_mm256_adds_epu8(, void, _xS_)	avx2intrin.h	0x140002074
WaitForSingleObjectEx	0.042926	0.0	0.042926	0.0	KERNELBASE.dll	WaitForSingleObjectEx	[Unknown]	0x18003b110
