load data ./files/DEEP100K.query.fbin
dimension: 96  number:10000  size_per_element:4
load data ./files/DEEP100K.gt.query.100k.top100.bin
dimension: 100  number:10000  size_per_element:4
load data ./files/DEEP100K.base.100k.fbin
dimension: 96  number:100000  size_per_element:4
[E1] 64B run 1 total_us=6238505
[E1] 64B run 2 total_us=6291443
[E1] 64B run 3 total_us=6229630
[E1] 64B run 4 total_us=6180499
[E1] 64B run 5 total_us=6423703
[E1] 16B_new run 1 total_us=6159181
[E1] 16B_new run 2 total_us=6104590
[E1] 16B_new run 3 total_us=6140191
[E1] 16B_new run 4 total_us=6143142
[E1] 16B_new run 5 total_us=6771283
[E1] offset_1B run 1 total_us=6711984
[E1] offset_1B run 2 total_us=6668860
[E1] offset_1B run 3 total_us=6740772
[E1] offset_1B run 4 total_us=6233924
[E1] offset_1B run 5 total_us=6184425
