opt_level,kind,algorithm,n,iterations,total_ms,avg_ms,checksum
O0,matrix,naive,64,32768,371.310100,0.011331,92406428.732596933842
O0,matrix,naive,128,8192,384.881100,0.046983,93052995.992675244808
O0,matrix,naive,256,2048,369.008200,0.180180,93090731.178579941392
O0,matrix,naive,384,1024,441.633200,0.431282,104784935.210613399744
O0,matrix,naive,512,256,264.976200,1.035063,46599695.965979270637
O0,matrix,naive,768,128,364.380800,2.846725,52485799.098844811320
O0,matrix,naive,1024,32,278.704900,8.709528,23308595.492165837437
O0,matrix,naive,1536,16,285.430400,17.839400,26232320.036471765488
O0,matrix,naive,2048,4,291.236600,72.809150,11657590.749067049474
O0,matrix,row_major,64,32768,416.572400,0.012713,92406428.732596933842
O0,matrix,row_major,128,8192,399.258700,0.048738,93052995.992675244808
O0,matrix,row_major,256,4096,471.914700,0.115214,186181462.357168793678
O0,matrix,row_major,384,1024,440.390600,0.430069,104784935.210613399744
O0,matrix,row_major,512,512,266.114400,0.519755,93199391.931958958507
O0,matrix,row_major,768,256,295.389700,1.153866,104971598.197689339519
O0,matrix,row_major,1024,128,263.971600,2.062278,93234381.968663513660
O0,matrix,row_major,1536,64,286.460700,4.475948,104929280.145887136459
O0,matrix,row_major,2048,32,271.066900,8.470841,93260725.992536410689
O0,matrix,row_major_unrolled4,64,65536,409.653200,0.006251,184812857.465018808842
O0,matrix,row_major_unrolled4,128,16384,445.621000,0.027199,186105991.985351026058
O0,matrix,row_major_unrolled4,256,4096,374.252600,0.091370,186181462.357168793678
O0,matrix,row_major_unrolled4,384,2048,434.970900,0.212388,209569870.421219497919
O0,matrix,row_major_unrolled4,512,1024,370.926700,0.362233,186398783.863920003176
O0,matrix,row_major_unrolled4,768,512,425.513400,0.831081,209943196.395381152630
O0,matrix,row_major_unrolled4,1024,256,383.040000,1.496250,186468763.937326610088
O0,matrix,row_major_unrolled4,1536,128,459.574800,3.590428,209858560.291774511337
O0,matrix,row_major_unrolled4,2048,64,376.844800,5.888200,186521451.985072940588
O0,sum,naive,1024,131072,381.891700,0.002914,133563400.062868028879
O0,sum,naive,4096,32768,399.500000,0.012192,133676410.960548773408
O0,sum,naive,16384,8192,403.467400,0.049251,133686086.551170557737
O0,sum,naive,65536,2048,356.080600,0.173867,133687924.913389563560
O0,sum,naive,262144,512,375.134800,0.732685,133688622.362205386162
O0,sum,naive,1048576,128,366.741000,2.865164,133689236.157480254769
O0,sum,naive,4194304,32,390.429300,12.200916,133689291.338582605124
O0,sum,naive,8388608,16,389.831900,24.364494,133689300.913385808468
O0,sum,superscalar2,1024,262144,387.621000,0.001479,267126800.125368028879
O0,sum,superscalar2,4096,65536,371.349000,0.005666,267352821.921484291553
O0,sum,superscalar2,16384,16384,397.291500,0.024249,267372173.102439612150
O0,sum,superscalar2,65536,4096,386.200800,0.094287,267375849.826780676842
O0,sum,superscalar2,262144,1024,404.152400,0.394680,267377244.724403291941
O0,sum,superscalar2,1048576,256,400.353800,1.563882,267378472.314962387085
O0,sum,superscalar2,4194304,64,417.323100,6.520673,267378582.677165627480
O0,sum,superscalar2,8388608,32,415.323600,12.978862,267378601.826771706343
O0,sum,superscalar4,1024,524288,415.105000,0.000792,534253600.250368058681
O0,sum,superscalar4,4096,131072,424.947600,0.003242,534705643.843359291553
O0,sum,superscalar4,16384,32768,426.605500,0.013019,534744346.204978644848
O0,sum,superscalar4,65536,8192,415.708500,0.050746,534751699.653441309929
O0,sum,superscalar4,262144,2048,417.532500,0.203873,534754489.448829412460
O0,sum,superscalar4,1048576,512,458.338800,0.895193,534756944.629919111729
O0,sum,superscalar4,4194304,64,255.389200,3.990456,267378582.677165597677
O0,sum,superscalar4,8388608,64,600.420400,9.381569,534757203.653542518616
O0,sum,pairwise,1024,65536,261.491500,0.003990,66781700.031615637243
O0,sum,pairwise,4096,32768,509.038200,0.015535,133676410.960548773408
O0,sum,pairwise,16384,4096,259.747000,0.063415,66843043.275596700609
O0,sum,pairwise,65536,1024,298.342700,0.291350,66843962.456694006920
O0,sum,pairwise,262144,256,389.511900,1.521531,66844311.181102640927
O0,sum,pairwise,1048576,64,304.360700,4.755636,66844618.078740127385
O0,sum,pairwise,4194304,16,329.459100,20.591194,66844645.669291354716
O0,sum,pairwise,8388608,8,345.185600,43.148200,66844650.456692926586
O3,matrix,naive,64,262144,492.964300,0.001881,739251429.863827586174
O3,matrix,naive,128,8192,267.661000,0.032673,93052995.992675244808
O3,matrix,naive,256,4096,312.172100,0.076214,186181462.357168793678
O3,matrix,naive,384,2048,254.073100,0.124059,209569870.421219497919
O3,matrix,naive,512,512,518.584800,1.012861,93199391.931958958507
O3,matrix,naive,768,256,509.023500,1.988373,104971598.197689339519
O3,matrix,naive,1024,64,456.763400,7.136928,46617190.984331645072
O3,matrix,naive,1536,16,311.592300,19.474519,26232320.036471765488
O3,matrix,naive,2048,4,271.839500,67.959875,11657590.749067049474
O3,matrix,row_major,64,262144,450.378700,0.001718,739251429.863827586174
O3,matrix,row_major,128,65536,497.174100,0.007586,744423967.940316557884
O3,matrix,row_major,256,16384,466.448900,0.028470,744725849.428429484367
O3,matrix,row_major,384,4096,269.681700,0.065840,419139740.842467010021
O3,matrix,row_major,512,2048,270.646400,0.132152,372797567.727825045586
O3,matrix,row_major,768,1024,274.576400,0.268141,419886392.790766894817
O3,matrix,row_major,1024,512,289.609700,0.565644,372937527.874655425549
O3,matrix,row_major,1536,128,274.569700,2.145076,209858560.291774511337
O3,matrix,row_major,2048,128,441.937800,3.452639,373042903.970146000385
O3,matrix,row_major_unrolled4,64,262144,345.843100,0.001319,739251429.863827586174
O3,matrix,row_major_unrolled4,128,65536,429.329700,0.006551,744423967.940316557884
O3,matrix,row_major_unrolled4,256,16384,433.041300,0.026431,744725849.428429484367
O3,matrix,row_major_unrolled4,384,8192,450.624700,0.055008,838279481.684820771217
O3,matrix,row_major_unrolled4,512,4096,483.145400,0.117955,745595135.455608248711
O3,matrix,row_major_unrolled4,768,1024,265.561300,0.259337,419886392.790766894817
O3,matrix,row_major_unrolled4,1024,512,310.954600,0.607333,372937527.874655425549
O3,matrix,row_major_unrolled4,1536,256,471.300600,1.841018,419717120.583546519279
O3,matrix,row_major_unrolled4,2048,128,413.082300,3.227205,373042903.970146000385
O3,sum,naive,1024,524288,356.627300,0.000680,534253600.250368058681
O3,sum,naive,4096,131072,390.080500,0.002976,534705643.843359291553
O3,sum,naive,16384,32768,377.435400,0.011518,534744346.204978644848
O3,sum,naive,65536,8192,365.546800,0.044622,534751699.653441309929
O3,sum,naive,262144,2048,370.822200,0.181066,534754489.448829412460
O3,sum,naive,1048576,512,421.953100,0.824127,534756944.629919111729
O3,sum,naive,4194304,128,485.089800,3.789764,534757165.354331552982
O3,sum,naive,8388608,32,256.370300,8.011572,267378601.826771676540
O3,sum,superscalar2,1024,1048576,399.349300,0.000381,1068507200.500368118286
O3,sum,superscalar2,4096,262144,376.705200,0.001437,1069411287.687109231949
O3,sum,superscalar2,16384,65536,372.416300,0.005683,1069488692.408111453056
O3,sum,superscalar2,65536,16384,388.404000,0.023706,1069503399.306761622429
O3,sum,superscalar2,262144,4096,414.260300,0.101138,1069508978.897560358047
O3,sum,superscalar2,1048576,1024,421.109600,0.411240,1069513889.259862780571
O3,sum,superscalar2,4194304,128,341.159000,2.665305,534757165.354331612587
O3,sum,superscalar2,8388608,64,405.302900,6.332858,534757203.653542518616
O3,sum,superscalar4,1024,2097152,387.227100,0.000185,2137014401.000368118286
O3,sum,superscalar4,4096,524288,370.294100,0.000706,2138822575.374609231949
O3,sum,superscalar4,16384,131072,503.373200,0.003840,2138977384.814361572266
O3,sum,superscalar4,65536,32768,529.080600,0.016146,2139006798.615347623825
O3,sum,superscalar4,262144,4096,321.555700,0.078505,1069508978.897560358047
O3,sum,superscalar4,1048576,1024,412.187600,0.402527,1069513889.259862780571
O3,sum,superscalar4,4194304,128,385.806200,3.014111,534757165.354331552982
O3,sum,superscalar4,8388608,64,390.655100,6.103986,534757203.653542518616
O3,sum,pairwise,1024,524288,260.365400,0.000497,534253600.250368058681
O3,sum,pairwise,4096,131072,276.837600,0.002112,534705643.843359291553
O3,sum,pairwise,16384,32768,367.146700,0.011204,534744346.204978644848
O3,sum,pairwise,65536,4096,415.252700,0.101380,267375849.826780676842
O3,sum,pairwise,262144,512,253.092000,0.494320,133688622.362205386162
O3,sum,pairwise,1048576,128,278.500900,2.175788,133689236.157480254769
O3,sum,pairwise,4194304,32,334.210600,10.444081,133689291.338582620025
O3,sum,pairwise,8388608,16,328.327000,20.520437,133689300.913385853171
