Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,3.275129
1,Clockticks,8448895000
2,Performance-core (P-core),8445900000
2,Efficient-core (E-core),2995000
1,Instructions Retired,17379985000
2,Performance-core (P-core),17379985000
2,Efficient-core (E-core),0
1,CPI Rate,0.486128
2,Performance-core (P-core),0.485956
2,Efficient-core (E-core),
1,MUX Reliability,0.984718
1,Performance-core (P-core),
2,Retiring,32.1
3,Light Operations,31.9
4,FP Arithmetic,52.5
5,FP x87,0.0
5,FP Scalar,52.5
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,26.5
4,Fused Instructions,1.9
4,Non Fused Branches,0.4
4,Other,0.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.2
4,Few Uops Instructions,0.1
4,Microcode Sequencer,0.1
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.1
2,Front-End Bound,2.4
3,Front-End Latency,0.3
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.3
4,ITLB Misses,0.7
5,Code STLB Hit,0.5
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.5
5,Mispredicts Resteers,
5,Clears Resteers,
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,2.0
4,Front-End Bandwidth MITE,0.3
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.3
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,94.9
4,(Info) LSD Coverage,10.5
4,(Info) DSB Misses,100.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.5
4,Other Mispredicts,0.5
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,67.4
3,Memory Bound,38.0
4,L1 Bound,0.6
5,DTLB Overhead,0.8
6,Load STLB Hit,0.6
6,Load STLB Miss,0.2
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,10.2
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.6
4,L2 Bound,3.1
5,L2 Hit Latency,100.0
4,L3 Bound,13.2
5,L3 Latency,0.0
5,SQ Full,2.2
4,DRAM Bound,23.1
5,Memory Bandwidth,89.0
5,Memory Latency,5.5
4,Store Bound,0.0
5,Store Latency,0.3
5,Split Stores,0.0
5,DTLB Store Overhead,0.7
6,Store STLB Hit,0.2
6,Store STLB Miss,0.5
7,Store STLB Miss 4K,0.5
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,29.4
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,0.4
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,9.7
5,Cycles of 0 Ports Utilized,0.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,5.5
5,Cycles of 2 Ports Utilized,6.2
5,Cycles of 3+ Ports Utilized,46.2
6,ALU Operation Utilization,19.8
7,Port 0,33.7
7,Port 1,35.5
7,Port 6,15.9
6,Load Operation Utilization,33.7
6,Store Operation Utilization,25.6
5,Vector Capacity Usage (FPU),12.5
1,Efficient-core (E-core),
2,Retiring,0.0
3,General Retirement,0.0
4,FP Arithmetic,0.0
4,Other,0.0
3,Microcode Sequencer,0.0
2,Front-End Bound,0.0
3,Front-End Latency,0.0
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,Front-End Bandwidth,0.0
4,Cisc,0.0
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,100.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Machine Clear,0.0
5,SMC Machine Clear,0.0
5,Machine Ordering,0.0
5,FP Assists,0.0
5,Disambiguation,0.0
5,Page Faults,0.0
4,Fast Machine Clears,0.0
2,Back-End Bound,0.0
3,Core Bound,0.0
3,Memory Bound,0.0
4,Store Bound,0.0
4,L1 Bound,0.0
5,Loads Blocked by Store Forwarding,0.0
5,Load STLB Hit,0.0
5,Load STLB Miss,0.0
5,Other L1,0.0
4,L2 Bound,0.0
4,L3 Bound,0.0
4,DRAM Bound,0.0
4,Other Load Store,0.0
2,Back-End Bound Auxiliary,0.0
3,Resource Bound,0.0
4,Memory Scheduler,0.0
5,ST Buffer,0.0
5,LD Buffer,0.0
5,RSV,0.0
4,Non-memory Scheduler,0.0
4,Register,0.0
4,Full Re-order Buffer (ROB),0.0
4,Allocation Restriction,0.0
4,Serializing Operations,0.0
1,Average CPU Frequency,2877882748.730586
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,6.4% (0.901 out of 14)
1,Effective Logical Core Utilization,4.5% (0.896 out of 20)
0,Collection and Platform Info,
1,Application Command Line,D:\Study\26sp\parallel\hw2\bin\lab1_perf.exe "matrix" "row_major_unrolled4" "2048" "1024" 
