Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,1.068042
1,Clockticks,2294170000
2,Performance-core (P-core),2294170000
2,Efficient-core (E-core),0
1,Instructions Retired,2761390000
2,Performance-core (P-core),2761390000
2,Efficient-core (E-core),0
1,CPI Rate,0.830803
2,Performance-core (P-core),0.830803
2,Efficient-core (E-core),0.0
1,MUX Reliability,0.938693
1,Performance-core (P-core),
2,Retiring,14.5
3,Light Operations,14.5
4,FP Arithmetic,53.8
5,FP x87,0.0
5,FP Scalar,53.8
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,8.4
4,Fused Instructions,4.0
4,Non Fused Branches,0.1
4,Other,0.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.0
4,Few Uops Instructions,0.0
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,2.4
3,Front-End Latency,0.0
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,1.1
4,ITLB Misses,0.9
5,Code STLB Hit,0.8
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.6
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.6
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.1
3,Front-End Bandwidth,2.4
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,1.9
4,(Info) LSD Coverage,86.5
4,(Info) DSB Misses,0.0
2,Bad Speculation,1.3
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,1.3
4,Other Nukes,1.3
2,Back-End Bound,81.8
3,Memory Bound,23.6
4,L1 Bound,30.6
5,DTLB Overhead,0.2
6,Load STLB Hit,0.0
6,Load STLB Miss,0.2
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,16.9
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,0.0
5,L2 Hit Latency,
4,L3 Bound,3.4
5,L3 Latency,
5,SQ Full,0.0
4,DRAM Bound,0.0
5,Memory Bandwidth,44.2
5,Memory Latency,26.1
4,Store Bound,0.0
5,Store Latency,4.5
5,Split Stores,0.0
5,DTLB Store Overhead,0.0
6,Store STLB Hit,0.0
6,Store STLB Miss,0.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,58.2
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,1.8
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,36.0
5,Cycles of 0 Ports Utilized,0.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,34.0
5,Cycles of 2 Ports Utilized,0.0
5,Cycles of 3+ Ports Utilized,29.5
6,ALU Operation Utilization,18.3
7,Port 0,8.9
7,Port 1,22.3
7,Port 6,24.5
6,Load Operation Utilization,14.8
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),12.5
1,Efficient-core (E-core),
2,Retiring,0.0
3,General Retirement,0.0
4,FP Arithmetic,0.0
4,Other,0.0
3,Microcode Sequencer,0.0
2,Front-End Bound,0.0
3,Front-End Latency,0.0
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,Front-End Bandwidth,0.0
4,Cisc,0.0
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Machine Clear,0.0
5,SMC Machine Clear,0.0
5,Machine Ordering,0.0
5,FP Assists,0.0
