Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,1.465387
1,Clockticks,4103150000
2,Performance-core (P-core),4103150000
2,Efficient-core (E-core),0
1,Instructions Retired,7586335000
2,Performance-core (P-core),7586335000
2,Efficient-core (E-core),0
1,CPI Rate,0.540861
2,Performance-core (P-core),0.540861
2,Efficient-core (E-core),0.0
1,MUX Reliability,0.937817
1,Performance-core (P-core),
2,Retiring,27.9
3,Light Operations,27.7
4,FP Arithmetic,67.5
5,FP x87,0.0
5,FP Scalar,67.5
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,19.4
4,Fused Instructions,4.8
4,Non Fused Branches,0.0
4,Other,0.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.2
4,Few Uops Instructions,0.2
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,2.3
3,Front-End Latency,0.0
4,ICache Misses,0.6
5,Code L2 Hit,0.6
5,Code L2 Miss,0.0
4,ITLB Misses,1.1
5,Code STLB Hit,0.8
5,Code STLB Miss,0.4
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.3
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.3
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,2.3
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,0.7
4,MS,0.0
4,(Info) DSB Coverage,0.8
4,(Info) LSD Coverage,95.2
4,(Info) DSB Misses,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,75.6
3,Memory Bound,27.9
4,L1 Bound,1.9
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.2
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,0.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,1.9
5,L2 Hit Latency,100.0
4,L3 Bound,24.1
5,L3 Latency,100.0
5,SQ Full,0.0
4,DRAM Bound,6.3
5,Memory Bandwidth,83.0
5,Memory Latency,14.6
4,Store Bound,0.0
5,Store Latency,0.0
5,Split Stores,0.0
5,DTLB Store Overhead,0.1
6,Store STLB Hit,0.0
6,Store STLB Miss,0.1
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,47.7
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,1.3
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,12.5
5,Cycles of 0 Ports Utilized,0.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,5.1
5,Cycles of 2 Ports Utilized,17.7
5,Cycles of 3+ Ports Utilized,43.1
6,ALU Operation Utilization,32.2
7,Port 0,11.8
7,Port 1,53.7
7,Port 6,26.2
6,Load Operation Utilization,35.8
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),12.5
1,Efficient-core (E-core),
2,Retiring,0.0
3,General Retirement,0.0
4,FP Arithmetic,0.0
4,Other,0.0
