Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
matrix_dot_naive,0.494967,77.2,0.0,0.0,2.2,82.6,0.0,0.0,0.0,0.0,0.0,0.0,82502475,2200066,29712474,lab1_perf.exe,"matrix_dot_naive(double const*, double const*, double*, unsigned long long)",matrix_experiment.cpp,0x1400045c0
func@0x18007be80,0.006000,0.0,100.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0,0,0,msvcrt.dll,func@0x18007be80,[Unknown],0x18007be80
make_matrix,0.006000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,lab1_perf.exe,make_matrix(unsigned long long),data_utils.cpp,0x1400017e0
func@0x14026de70,0.002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x14026de70,[Unknown],0x14026de70
func@0x1406b9dae,0.002000,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x1406b9dae,[Unknown],0x1406b9dae
func@0x14084fb60,0.002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x14084fb60,[Unknown],0x14084fb60
ExAcquireResourceSharedLite,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,ExAcquireResourceSharedLite,[Unknown],0x140341e80
ExReleaseResourceLite,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,ExReleaseResourceLite,[Unknown],0x14025a450
ExpInterlockedPushEntrySList,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,ExpInterlockedPushEntrySList,[Unknown],0x1406b38d0
SeSecurityAttributePresent,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,SeSecurityAttributePresent,[Unknown],0x1403438c0
