Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,0.706686
1,Clockticks,1764055000
2,Performance-core (P-core),1764055000
2,Efficient-core (E-core),0
1,Instructions Retired,5190335000
2,Performance-core (P-core),5190335000
2,Efficient-core (E-core),0
1,CPI Rate,0.339873
2,Performance-core (P-core),0.339873
2,Efficient-core (E-core),0.0
1,MUX Reliability,0.854850
1,Performance-core (P-core),
2,Retiring,45.6
3,Light Operations,37.8
4,FP Arithmetic,44.5
5,FP x87,0.0
5,FP Scalar,44.5
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,20.3
4,Fused Instructions,6.4
4,Non Fused Branches,0.2
4,Other,0.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,7.8
4,Few Uops Instructions,7.8
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,0.6
3,Front-End Latency,5.0
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.0
4,ITLB Misses,0.3
5,Code STLB Hit,0.0
5,Code STLB Miss,0.6
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.0
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,0.0
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,2.8
4,(Info) LSD Coverage,94.5
4,(Info) DSB Misses,0.0
2,Bad Speculation,3.9
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,3.9
4,Other Nukes,3.9
2,Back-End Bound,50.0
3,Memory Bound,36.1
4,L1 Bound,0.0
5,DTLB Overhead,0.3
6,Load STLB Hit,0.0
6,Load STLB Miss,0.3
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,16.2
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,1.5
5,L2 Hit Latency,100.0
4,L3 Bound,13.3
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,17.7
5,Memory Bandwidth,89.9
5,Memory Latency,5.9
4,Store Bound,0.0
5,Store Latency,0.0
5,Split Stores,0.0
5,DTLB Store Overhead,2.1
6,Store STLB Hit,0.0
6,Store STLB Miss,2.1
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,13.9
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,0.6
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,5.6
5,Cycles of 0 Ports Utilized,0.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,2.9
5,Cycles of 2 Ports Utilized,2.9
5,Cycles of 3+ Ports Utilized,56.0
6,ALU Operation Utilization,43.6
7,Port 0,49.2
7,Port 1,45.7
7,Port 6,66.8
6,Load Operation Utilization,42.2
6,Store Operation Utilization,31.6
5,Vector Capacity Usage (FPU),12.5
1,Efficient-core (E-core),
2,Retiring,0.0
3,General Retirement,0.0
4,FP Arithmetic,0.0
4,Other,0.0
3,Microcode Sequencer,0.0
2,Front-End Bound,0.0
3,Front-End Latency,0.0
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,Front-End Bandwidth,0.0
4,Cisc,0.0
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Machine Clear,0.0
5,SMC Machine Clear,0.0
5,Machine Ordering,0.0
5,FP Assists,0.0
5,Disambiguation,0.0
5,Page Faults,0.0
4,Fast Machine Clears,0.0
2,Back-End Bound,0.0
3,Core Bound,0.0
3,Memory Bound,0.0
4,Store Bound,0.0
4,L1 Bound,0.0
5,Loads Blocked by Store Forwarding,0.0
5,Load STLB Hit,0.0
5,Load STLB Miss,0.0
5,Other L1,0.0
4,L2 Bound,0.0
4,L3 Bound,0.0
4,DRAM Bound,0.0
4,Other Load Store,0.0
2,Back-End Bound Auxiliary,0.0
3,Resource Bound,0.0
4,Memory Scheduler,0.0
5,ST Buffer,0.0
5,LD Buffer,0.0
5,RSV,0.0
4,Non-memory Scheduler,0.0
4,Register,0.0
4,Full Re-order Buffer (ROB),0.0
4,Allocation Restriction,0.0
4,Serializing Operations,0.0
1,Average CPU Frequency,2787004388.214850
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,5.4% (0.751 out of 14)
1,Effective Logical Core Utilization,4.5% (0.896 out of 20)
0,Collection and Platform Info,
1,Application Command Line,D:\Study\26sp\parallel\hw2\bin\lab1_perf.exe "matrix" "row_major" "2048" "200" 
1,Operating System,Microsoft Windows 11
1,Computer Name,LAPTOP-644S5K5I
1,Result Size,20042585
1,Collection start time,01:50:18 27/03/2026 UTC
1,Collection stop time,01:50:18 27/03/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Raptorlake-P
2,Frequency,2995201660
2,Logical CPU Count,20
