Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
matrix_dot_row_major_unrolled4,0.621958,34.5,0.0,2.3,12.1,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2031760951,1013130393,13755775,lab1_perf.exe,"matrix_dot_row_major_unrolled4(double const*, double const*, double*, unsigned long long)",matrix_experiment.cpp,0x1400046c0
func@0x18007be80,0.006000,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,msvcrt.dll,func@0x18007be80,[Unknown],0x18007be80
func@0x14000f134,0.004000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,intcaudiobus.sys,func@0x14000f134,[Unknown],0x14000f134
make_matrix,0.004000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,lab1_perf.exe,make_matrix(unsigned long long),data_utils.cpp,0x1400017e0
ExpInterlockedPopEntrySList,0.002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100033,0,0,ntoskrnl.exe,ExpInterlockedPopEntrySList,[Unknown],0x1406b3890
func@0x1406b9dae,0.002000,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1406b9dae,[Unknown],0x1406b9dae
func@0x18003d500,0.002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100033,0,0,ntdll.dll,func@0x18003d500,[Unknown],0x18003d500
ExAcquireResourceSharedLite,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,ExAcquireResourceSharedLite,[Unknown],0x140341e80
ExReleaseFastMutex,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,ExReleaseFastMutex,[Unknown],0x14031e470
[storqosflt.sys],0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,storqosflt.sys,[storqosflt.sys],[Unknown],0x0
func@0x132a8,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,sepdrv5.sys,func@0x132a8,[Unknown],0x132a8
func@0x14000f187,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,intcaudiobus.sys,func@0x14000f187,[Unknown],0x14000f187
func@0x140050060,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,sysdiag.sys,func@0x140050060,[Unknown],0x140050060
func@0x14014f730,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x14014f730,[Unknown],0x14014f730
func@0x14017b4a0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x14017b4a0,[Unknown],0x14017b4a0
func@0x14017cf70,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x14017cf70,[Unknown],0x14017cf70
func@0x140231f70,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100033,0,0,ntoskrnl.exe,func@0x140231f70,[Unknown],0x140231f70
func@0x14023e790,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x14023e790,[Unknown],0x14023e790
func@0x140272210,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1100033,0,ntoskrnl.exe,func@0x140272210,[Unknown],0x140272210
