Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,2.624118
1,Clockticks,5945075000
2,Performance-core (P-core),5945075000
2,Efficient-core (E-core),0
1,Instructions Retired,7226935000
2,Performance-core (P-core),7226935000
2,Efficient-core (E-core),0
1,CPI Rate,0.822627
2,Performance-core (P-core),0.822627
2,Efficient-core (E-core),0.0
1,MUX Reliability,0.985588
1,Performance-core (P-core),
2,Retiring,19.7
3,Light Operations,19.6
4,FP Arithmetic,15.0
5,FP x87,0.0
5,FP Scalar,15.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,11.7
4,Fused Instructions,0.0
4,Non Fused Branches,1.9
4,Other,0.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.1
4,Few Uops Instructions,0.1
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,2.0
3,Front-End Latency,0.4
4,ICache Misses,0.2
5,Code L2 Hit,0.0
5,Code L2 Miss,0.4
4,ITLB Misses,0.6
5,Code STLB Hit,0.3
5,Code STLB Miss,0.3
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.9
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.9
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,1.6
4,Front-End Bandwidth MITE,0.4
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,1.8
4,MS,0.0
4,(Info) DSB Coverage,0.0
4,(Info) LSD Coverage,97.3
4,(Info) DSB Misses,32.7
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,78.4
3,Memory Bound,60.4
4,L1 Bound,10.5
5,DTLB Overhead,0.1
6,Load STLB Hit,0.0
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,5.1
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,28.4
4,L2 Bound,0.0
5,L2 Hit Latency,79.8
4,L3 Bound,22.3
5,L3 Latency,63.4
5,SQ Full,7.4
4,DRAM Bound,28.9
5,Memory Bandwidth,94.5
5,Memory Latency,5.2
4,Store Bound,7.4
5,Store Latency,21.0
5,Split Stores,0.0
5,DTLB Store Overhead,3.2
6,Store STLB Hit,1.2
6,Store STLB Miss,1.9
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
